Provider Column,Race,Sex,Ethnicity,County,Count,Age,Year
1,White,Male,Not Hispanic,1,1643,1,2021
1,White,Female,Not Hispanic,1,1550,1,2021
1,Black,Male,Not Hispanic,1,109,1,2021
1,Black,Female,Not Hispanic,1,112,1,2021
1,AIAN,Male,Not Hispanic,1,5,1,2021
1,AIAN,Female,Not Hispanic,1,2,1,2021
1,Asian,Male,Not Hispanic,1,21,1,2021
1,Asian,Female,Not Hispanic,1,23,1,2021
1,NHOPI,Male,Not Hispanic,1,1,1,2021
1,NHOPI,Female,Not Hispanic,1,3,1,2021
1,TOM,Male,Not Hispanic,1,98,1,2021
1,TOM,Female,Not Hispanic,1,139,1,2021
1,White,Male,Hispanic,1,54,1,2021
1,White,Female,Hispanic,1,45,1,2021
1,Black,Male,Hispanic,1,9,1,2021
1,Black,Female,Hispanic,1,7,1,2021
1,AIAN,Male,Hispanic,1,3,1,2021
1,AIAN,Female,Hispanic,1,2,1,2021
1,TOM,Male,Hispanic,1,4,1,2021
1,TOM,Female,Hispanic,1,9,1,2021
1,White,Male,Not Hispanic,1,1836,2,2021
1,White,Female,Not Hispanic,1,1658,2,2021
1,Black,Male,Not Hispanic,1,89,2,2021
1,Black,Female,Not Hispanic,1,99,2,2021
1,AIAN,Male,Not Hispanic,1,3,2,2021
1,AIAN,Female,Not Hispanic,1,3,2,2021
1,Asian,Male,Not Hispanic,1,25,2,2021
1,Asian,Female,Not Hispanic,1,36,2,2021
1,NHOPI,Male,Not Hispanic,1,1,2,2021
1,NHOPI,Female,Not Hispanic,1,2,2,2021
1,TOM,Male,Not Hispanic,1,119,2,2021
1,TOM,Female,Not Hispanic,1,106,2,2021
1,White,Male,Hispanic,1,56,2,2021
1,White,Female,Hispanic,1,46,2,2021
1,Black,Male,Hispanic,1,8,2,2021
1,Black,Female,Hispanic,1,2,2,2021
1,AIAN,Male,Hispanic,1,7,2,2021
1,AIAN,Female,Hispanic,1,9,2,2021
1,TOM,Male,Hispanic,1,8,2,2021
1,TOM,Female,Hispanic,1,6,2,2021
1,White,Male,Not Hispanic,1,1842,3,2021
1,White,Female,Not Hispanic,1,1801,3,2021
1,Black,Male,Not Hispanic,1,115,3,2021
1,Black,Female,Not Hispanic,1,87,3,2021
1,AIAN,Male,Not Hispanic,1,5,3,2021
1,AIAN,Female,Not Hispanic,1,4,3,2021
1,Asian,Male,Not Hispanic,1,19,3,2021
1,Asian,Female,Not Hispanic,1,9,3,2021
1,NHOPI,Male,Not Hispanic,1,1,3,2021
1,NHOPI,Female,Not Hispanic,1,2,3,2021
1,TOM,Male,Not Hispanic,1,128,3,2021
1,TOM,Female,Not Hispanic,1,94,3,2021
1,White,Male,Hispanic,1,53,3,2021
1,White,Female,Hispanic,1,40,3,2021
1,Black,Male,Hispanic,1,5,3,2021
1,Black,Female,Hispanic,1,2,3,2021
1,AIAN,Male,Hispanic,1,1,3,2021
1,AIAN,Female,Hispanic,1,1,3,2021
1,TOM,Male,Hispanic,1,5,3,2021
1,TOM,Female,Hispanic,1,4,3,2021
1,White,Male,Not Hispanic,1,1826,4,2021
1,White,Female,Not Hispanic,1,1680,4,2021
1,Black,Male,Not Hispanic,1,110,4,2021
1,Black,Female,Not Hispanic,1,113,4,2021
1,AIAN,Male,Not Hispanic,1,2,4,2021
1,AIAN,Female,Not Hispanic,1,1,4,2021
1,Asian,Male,Not Hispanic,1,15,4,2021
1,Asian,Female,Not Hispanic,1,11,4,2021
1,NHOPI,Male,Not Hispanic,1,1,4,2021
1,TOM,Male,Not Hispanic,1,93,4,2021
1,TOM,Female,Not Hispanic,1,92,4,2021
1,White,Male,Hispanic,1,39,4,2021
1,White,Female,Hispanic,1,52,4,2021
1,Black,Male,Hispanic,1,6,4,2021
1,Black,Female,Hispanic,1,5,4,2021
1,AIAN,Male,Hispanic,1,9,4,2021
1,AIAN,Female,Hispanic,1,3,4,2021
1,Asian,Male,Hispanic,1,1,4,2021
1,TOM,Male,Hispanic,1,7,4,2021
1,TOM,Female,Hispanic,1,6,4,2021
1,White,Male,Not Hispanic,1,1606,5,2021
1,White,Female,Not Hispanic,1,1559,5,2021
1,Black,Male,Not Hispanic,1,117,5,2021
1,Black,Female,Not Hispanic,1,100,5,2021
1,AIAN,Male,Not Hispanic,1,4,5,2021
1,AIAN,Female,Not Hispanic,1,4,5,2021
1,Asian,Male,Not Hispanic,1,9,5,2021
1,Asian,Female,Not Hispanic,1,30,5,2021
1,NHOPI,Male,Not Hispanic,1,2,5,2021
1,TOM,Male,Not Hispanic,1,63,5,2021
1,TOM,Female,Not Hispanic,1,53,5,2021
1,White,Male,Hispanic,1,35,5,2021
1,White,Female,Hispanic,1,33,5,2021
1,Black,Male,Hispanic,1,5,5,2021
1,Black,Female,Hispanic,1,1,5,2021
1,AIAN,Male,Hispanic,1,23,5,2021
1,AIAN,Female,Hispanic,1,2,5,2021
1,Asian,Male,Hispanic,1,2,5,2021
1,Asian,Female,Hispanic,1,2,5,2021
1,NHOPI,Female,Hispanic,1,2,5,2021
1,TOM,Male,Hispanic,1,6,5,2021
1,TOM,Female,Hispanic,1,7,5,2021
1,White,Male,Not Hispanic,1,1649,6,2021
1,White,Female,Not Hispanic,1,1651,6,2021
1,Black,Male,Not Hispanic,1,102,6,2021
1,Black,Female,Not Hispanic,1,87,6,2021
1,AIAN,Male,Not Hispanic,1,2,6,2021
1,AIAN,Female,Not Hispanic,1,3,6,2021
1,Asian,Male,Not Hispanic,1,13,6,2021
1,Asian,Female,Not Hispanic,1,22,6,2021
1,NHOPI,Female,Not Hispanic,1,1,6,2021
1,TOM,Male,Not Hispanic,1,43,6,2021
1,TOM,Female,Not Hispanic,1,42,6,2021
1,White,Male,Hispanic,1,44,6,2021
1,White,Female,Hispanic,1,45,6,2021
1,Black,Male,Hispanic,1,1,6,2021
1,Black,Female,Hispanic,1,4,6,2021
1,AIAN,Male,Hispanic,1,2,6,2021
1,Asian,Male,Hispanic,1,1,6,2021
1,Asian,Female,Hispanic,1,1,6,2021
1,TOM,Male,Hispanic,1,4,6,2021
1,TOM,Female,Hispanic,1,3,6,2021
1,White,Male,Not Hispanic,1,1781,7,2021
1,White,Female,Not Hispanic,1,1820,7,2021
1,Black,Male,Not Hispanic,1,105,7,2021
1,Black,Female,Not Hispanic,1,92,7,2021
1,AIAN,Male,Not Hispanic,1,1,7,2021
1,AIAN,Female,Not Hispanic,1,6,7,2021
1,Asian,Male,Not Hispanic,1,22,7,2021
1,Asian,Female,Not Hispanic,1,11,7,2021
1,NHOPI,Male,Not Hispanic,1,1,7,2021
1,NHOPI,Female,Not Hispanic,1,2,7,2021
1,TOM,Male,Not Hispanic,1,28,7,2021
1,TOM,Female,Not Hispanic,1,30,7,2021
1,White,Male,Hispanic,1,48,7,2021
1,White,Female,Hispanic,1,43,7,2021
1,Black,Male,Hispanic,1,4,7,2021
1,Black,Female,Hispanic,1,2,7,2021
1,AIAN,Male,Hispanic,1,1,7,2021
1,Asian,Male,Hispanic,1,2,7,2021
1,Asian,Female,Hispanic,1,1,7,2021
1,TOM,Female,Hispanic,1,3,7,2021
1,White,Male,Not Hispanic,1,1801,8,2021
1,White,Female,Not Hispanic,1,1850,8,2021
1,Black,Male,Not Hispanic,1,102,8,2021
1,Black,Female,Not Hispanic,1,58,8,2021
1,AIAN,Male,Not Hispanic,1,3,8,2021
1,AIAN,Female,Not Hispanic,1,7,8,2021
1,Asian,Male,Not Hispanic,1,20,8,2021
1,Asian,Female,Not Hispanic,1,20,8,2021
1,NHOPI,Male,Not Hispanic,1,1,8,2021
1,NHOPI,Female,Not Hispanic,1,1,8,2021
1,TOM,Male,Not Hispanic,1,25,8,2021
1,TOM,Female,Not Hispanic,1,22,8,2021
1,White,Male,Hispanic,1,44,8,2021
1,White,Female,Hispanic,1,39,8,2021
1,Black,Male,Hispanic,1,11,8,2021
1,Black,Female,Hispanic,1,2,8,2021
1,Asian,Male,Hispanic,1,1,8,2021
1,TOM,Male,Hispanic,1,2,8,2021
1,TOM,Female,Hispanic,1,2,8,2021
1,White,Male,Not Hispanic,1,1793,9,2021
1,White,Female,Not Hispanic,1,1713,9,2021
1,Black,Male,Not Hispanic,1,87,9,2021
1,Black,Female,Not Hispanic,1,64,9,2021
1,AIAN,Male,Not Hispanic,1,1,9,2021
1,AIAN,Female,Not Hispanic,1,5,9,2021
1,Asian,Male,Not Hispanic,1,25,9,2021
1,Asian,Female,Not Hispanic,1,22,9,2021
1,NHOPI,Male,Not Hispanic,1,2,9,2021
1,NHOPI,Female,Not Hispanic,1,1,9,2021
1,TOM,Male,Not Hispanic,1,17,9,2021
1,TOM,Female,Not Hispanic,1,22,9,2021
1,White,Male,Hispanic,1,34,9,2021
1,White,Female,Hispanic,1,27,9,2021
1,Black,Male,Hispanic,1,5,9,2021
1,Black,Female,Hispanic,1,2,9,2021
1,AIAN,Female,Hispanic,1,2,9,2021
1,Asian,Female,Hispanic,1,1,9,2021
1,TOM,Female,Hispanic,1,5,9,2021
1,White,Male,Not Hispanic,1,1611,10,2021
1,White,Female,Not Hispanic,1,1575,10,2021
1,Black,Male,Not Hispanic,1,73,10,2021
1,Black,Female,Not Hispanic,1,63,10,2021
1,AIAN,Male,Not Hispanic,1,3,10,2021
1,AIAN,Female,Not Hispanic,1,3,10,2021
1,Asian,Male,Not Hispanic,1,15,10,2021
1,Asian,Female,Not Hispanic,1,24,10,2021
1,NHOPI,Female,Not Hispanic,1,1,10,2021
1,TOM,Male,Not Hispanic,1,17,10,2021
1,TOM,Female,Not Hispanic,1,17,10,2021
1,White,Male,Hispanic,1,28,10,2021
1,White,Female,Hispanic,1,22,10,2021
1,Black,Male,Hispanic,1,3,10,2021
1,Black,Female,Hispanic,1,1,10,2021
1,AIAN,Male,Hispanic,1,5,10,2021
1,TOM,Male,Hispanic,1,1,10,2021
1,TOM,Female,Hispanic,1,2,10,2021
1,White,Male,Not Hispanic,1,1772,11,2021
1,White,Female,Not Hispanic,1,1851,11,2021
1,Black,Male,Not Hispanic,1,62,11,2021
1,Black,Female,Not Hispanic,1,59,11,2021
1,AIAN,Male,Not Hispanic,1,6,11,2021
1,AIAN,Female,Not Hispanic,1,2,11,2021
1,Asian,Male,Not Hispanic,1,6,11,2021
1,Asian,Female,Not Hispanic,1,14,11,2021
1,NHOPI,Male,Not Hispanic,1,1,11,2021
1,NHOPI,Female,Not Hispanic,1,1,11,2021
1,TOM,Male,Not Hispanic,1,9,11,2021
1,TOM,Female,Not Hispanic,1,10,11,2021
1,White,Male,Hispanic,1,27,11,2021
1,White,Female,Hispanic,1,34,11,2021
1,Black,Male,Hispanic,1,1,11,2021
1,Black,Female,Hispanic,1,1,11,2021
1,AIAN,Male,Hispanic,1,1,11,2021
1,AIAN,Female,Hispanic,1,2,11,2021
1,Asian,Male,Hispanic,1,1,11,2021
1,TOM,Male,Hispanic,1,1,11,2021
1,TOM,Female,Hispanic,1,1,11,2021
1,White,Male,Not Hispanic,1,2065,12,2021
1,White,Female,Not Hispanic,1,2090,12,2021
1,Black,Male,Not Hispanic,1,67,12,2021
1,Black,Female,Not Hispanic,1,59,12,2021
1,AIAN,Male,Not Hispanic,1,14,12,2021
1,AIAN,Female,Not Hispanic,1,4,12,2021
1,Asian,Male,Not Hispanic,1,14,12,2021
1,Asian,Female,Not Hispanic,1,21,12,2021
1,TOM,Male,Not Hispanic,1,14,12,2021
1,TOM,Female,Not Hispanic,1,12,12,2021
1,White,Male,Hispanic,1,19,12,2021
1,White,Female,Hispanic,1,11,12,2021
1,Black,Male,Hispanic,1,3,12,2021
1,Black,Female,Hispanic,1,1,12,2021
1,AIAN,Male,Hispanic,1,3,12,2021
1,AIAN,Female,Hispanic,1,1,12,2021
1,Asian,Female,Hispanic,1,1,12,2021
1,TOM,Male,Hispanic,1,1,12,2021
1,TOM,Female,Hispanic,1,3,12,2021
1,White,Male,Not Hispanic,1,2169,13,2021
1,White,Female,Not Hispanic,1,2176,13,2021
1,Black,Male,Not Hispanic,1,77,13,2021
1,Black,Female,Not Hispanic,1,71,13,2021
1,AIAN,Male,Not Hispanic,1,4,13,2021
1,AIAN,Female,Not Hispanic,1,6,13,2021
1,Asian,Male,Not Hispanic,1,12,13,2021
1,Asian,Female,Not Hispanic,1,20,13,2021
1,TOM,Male,Not Hispanic,1,9,13,2021
1,TOM,Female,Not Hispanic,1,7,13,2021
1,White,Male,Hispanic,1,8,13,2021
1,White,Female,Hispanic,1,20,13,2021
1,Black,Female,Hispanic,1,3,13,2021
1,Asian,Male,Hispanic,1,3,13,2021
1,TOM,Male,Hispanic,1,1,13,2021
1,White,Male,Not Hispanic,1,1829,14,2021
1,White,Female,Not Hispanic,1,2012,14,2021
1,Black,Male,Not Hispanic,1,68,14,2021
1,Black,Female,Not Hispanic,1,53,14,2021
1,AIAN,Male,Not Hispanic,1,1,14,2021
1,AIAN,Female,Not Hispanic,1,4,14,2021
1,Asian,Male,Not Hispanic,1,14,14,2021
1,Asian,Female,Not Hispanic,1,20,14,2021
1,NHOPI,Male,Not Hispanic,1,1,14,2021
1,NHOPI,Female,Not Hispanic,1,1,14,2021
1,TOM,Male,Not Hispanic,1,8,14,2021
1,TOM,Female,Not Hispanic,1,10,14,2021
1,White,Male,Hispanic,1,10,14,2021
1,White,Female,Hispanic,1,14,14,2021
1,AIAN,Female,Hispanic,1,1,14,2021
1,TOM,Female,Hispanic,1,1,14,2021
1,White,Male,Not Hispanic,1,1577,15,2021
1,White,Female,Not Hispanic,1,1689,15,2021
1,Black,Male,Not Hispanic,1,32,15,2021
1,Black,Female,Not Hispanic,1,42,15,2021
1,AIAN,Male,Not Hispanic,1,2,15,2021
1,AIAN,Female,Not Hispanic,1,3,15,2021
1,Asian,Male,Not Hispanic,1,14,15,2021
1,Asian,Female,Not Hispanic,1,11,15,2021
1,NHOPI,Male,Not Hispanic,1,1,15,2021
1,NHOPI,Female,Not Hispanic,1,2,15,2021
1,TOM,Male,Not Hispanic,1,11,15,2021
1,TOM,Female,Not Hispanic,1,4,15,2021
1,White,Male,Hispanic,1,8,15,2021
1,White,Female,Hispanic,1,7,15,2021
1,AIAN,Male,Hispanic,1,1,15,2021
1,AIAN,Female,Hispanic,1,1,15,2021
1,Asian,Male,Hispanic,1,1,15,2021
1,TOM,Female,Hispanic,1,1,15,2021
1,White,Male,Not Hispanic,1,976,16,2021
1,White,Female,Not Hispanic,1,1197,16,2021
1,Black,Male,Not Hispanic,1,25,16,2021
1,Black,Female,Not Hispanic,1,24,16,2021
1,AIAN,Male,Not Hispanic,1,1,16,2021
1,AIAN,Female,Not Hispanic,1,1,16,2021
