Illinois,Race,Sex,Ethnicity,County,Count,Age,Year
17,White,Male,Not Hispanic,1,1833,1,2010
17,White,Female,Not Hispanic,1,1804,1,2010
17,Black,Male,Not Hispanic,1,121,1,2010
17,Black,Female,Not Hispanic,1,101,1,2010
17,AIAN,Male,Not Hispanic,1,4,1,2010
17,AIAN,Female,Not Hispanic,1,3,1,2010
17,Asian,Male,Not Hispanic,1,22,1,2010
17,Asian,Female,Not Hispanic,1,20,1,2010
17,NHOPI,Female,Not Hispanic,1,2,1,2010
17,TOM,Male,Not Hispanic,1,132,1,2010
17,TOM,Female,Not Hispanic,1,111,1,2010
17,White,Male,Hispanic,1,31,1,2010
17,White,Female,Hispanic,1,31,1,2010
17,Black,Male,Hispanic,1,2,1,2010
17,Black,Female,Hispanic,1,2,1,2010
17,AIAN,Male,Hispanic,1,1,1,2010
17,Asian,Male,Hispanic,1,1,1,2010
17,TOM,Male,Hispanic,1,5,1,2010
17,TOM,Female,Hispanic,1,3,1,2010
17,White,Male,Not Hispanic,1,1936,2,2010
17,White,Female,Not Hispanic,1,1781,2,2010
17,Black,Male,Not Hispanic,1,109,2,2010
17,Black,Female,Not Hispanic,1,114,2,2010
17,AIAN,Male,Not Hispanic,1,3,2,2010
17,AIAN,Female,Not Hispanic,1,1,2,2010
17,Asian,Male,Not Hispanic,1,17,2,2010
17,Asian,Female,Not Hispanic,1,14,2,2010
17,NHOPI,Female,Not Hispanic,1,1,2,2010
17,TOM,Male,Not Hispanic,1,88,2,2010
17,TOM,Female,Not Hispanic,1,95,2,2010
17,White,Male,Hispanic,1,30,2,2010
17,White,Female,Hispanic,1,40,2,2010
17,Black,Male,Hispanic,1,3,2,2010
17,Black,Female,Hispanic,1,6,2,2010
17,AIAN,Male,Hispanic,1,2,2,2010
17,AIAN,Female,Hispanic,1,3,2,2010
17,TOM,Male,Hispanic,1,7,2,2010
17,TOM,Female,Hispanic,1,8,2,2010
17,White,Male,Not Hispanic,1,1993,3,2010
17,White,Female,Not Hispanic,1,1855,3,2010
17,Black,Male,Not Hispanic,1,86,3,2010
17,Black,Female,Not Hispanic,1,103,3,2010
17,AIAN,Male,Not Hispanic,1,4,3,2010
17,AIAN,Female,Not Hispanic,1,1,3,2010
17,Asian,Male,Not Hispanic,1,8,3,2010
17,Asian,Female,Not Hispanic,1,13,3,2010
17,TOM,Male,Not Hispanic,1,64,3,2010
17,TOM,Female,Not Hispanic,1,58,3,2010
17,White,Male,Hispanic,1,28,3,2010
17,White,Female,Hispanic,1,32,3,2010
17,Black,Male,Hispanic,1,4,3,2010
17,Black,Female,Hispanic,1,2,3,2010
17,AIAN,Male,Hispanic,1,3,3,2010
17,Asian,Male,Hispanic,1,3,3,2010
17,Asian,Female,Hispanic,1,3,3,2010
17,TOM,Male,Hispanic,1,3,3,2010
17,TOM,Female,Hispanic,1,1,3,2010
17,White,Male,Not Hispanic,1,2134,4,2010
17,White,Female,Not Hispanic,1,1989,4,2010
17,Black,Male,Not Hispanic,1,119,4,2010
17,Black,Female,Not Hispanic,1,118,4,2010
17,AIAN,Male,Not Hispanic,1,1,4,2010
17,AIAN,Female,Not Hispanic,1,4,4,2010
17,Asian,Male,Not Hispanic,1,10,4,2010
17,Asian,Female,Not Hispanic,1,8,4,2010
17,TOM,Male,Not Hispanic,1,45,4,2010
17,TOM,Female,Not Hispanic,1,53,4,2010
17,White,Male,Hispanic,1,28,4,2010
17,White,Female,Hispanic,1,40,4,2010
17,Black,Male,Hispanic,1,3,4,2010
17,Black,Female,Hispanic,1,3,4,2010
17,Asian,Male,Hispanic,1,2,4,2010
17,TOM,Male,Hispanic,1,3,4,2010
17,TOM,Female,Hispanic,1,2,4,2010
17,White,Male,Not Hispanic,1,1824,5,2010
17,White,Female,Not Hispanic,1,1876,5,2010
17,Black,Male,Not Hispanic,1,110,5,2010
17,Black,Female,Not Hispanic,1,110,5,2010
17,AIAN,Male,Not Hispanic,1,5,5,2010
17,AIAN,Female,Not Hispanic,1,6,5,2010
17,Asian,Male,Not Hispanic,1,11,5,2010
17,Asian,Female,Not Hispanic,1,8,5,2010
17,NHOPI,Female,Not Hispanic,1,1,5,2010
17,TOM,Male,Not Hispanic,1,39,5,2010
17,TOM,Female,Not Hispanic,1,40,5,2010
17,White,Male,Hispanic,1,43,5,2010
17,White,Female,Hispanic,1,40,5,2010
17,Black,Male,Hispanic,1,4,5,2010
17,Black,Female,Hispanic,1,5,5,2010
17,Asian,Male,Hispanic,1,2,5,2010
17,TOM,Female,Hispanic,1,5,5,2010
17,White,Male,Not Hispanic,1,1799,6,2010
17,White,Female,Not Hispanic,1,1920,6,2010
17,Black,Male,Not Hispanic,1,89,6,2010
