Provider Column,Race,Sex,Ethnicity,County,Count,Age,Year
1,White,Male,Hispanic,1,37,6,2022
1,White,Female,Hispanic,1,43,6,2022
1,Black,Male,Hispanic,1,1,6,2022
1,Black,Female,Hispanic,1,3,6,2022
1,AIAN,Male,Hispanic,1,1,6,2022
1,Asian,Female,Hispanic,1,1,6,2022
1,NHOPI,Female,Hispanic,1,1,6,2022
1,TOM,Male,Hispanic,1,5,6,2022
1,TOM,Female,Hispanic,1,2,6,2022
1,White,Male,Not Hispanic,1,1763,7,2022
1,White,Female,Not Hispanic,1,1807,7,2022
1,Black,Male,Not Hispanic,1,110,7,2022
1,Black,Female,Not Hispanic,1,85,7,2022
1,AIAN,Male,Not Hispanic,1,1,7,2022
1,AIAN,Female,Not Hispanic,1,5,7,2022
1,Asian,Male,Not Hispanic,1,18,7,2022
1,Asian,Female,Not Hispanic,1,20,7,2022
1,TOM,Male,Not Hispanic,1,31,7,2022
1,TOM,Female,Not Hispanic,1,36,7,2022
1,White,Male,Hispanic,1,46,7,2022
1,White,Female,Hispanic,1,44,7,2022
1,Black,Male,Hispanic,1,2,7,2022
1,Black,Female,Hispanic,1,3,7,2022
1,AIAN,Male,Hispanic,1,2,7,2022
1,AIAN,Female,Hispanic,1,1,7,2022
1,Asian,Male,Hispanic,1,2,7,2022
1,Asian,Female,Hispanic,1,1,7,2022
1,NHOPI,Male,Hispanic,1,2,7,2022
1,TOM,Female,Hispanic,1,3,7,2022
1,White,Male,Not Hispanic,1,1776,8,2022
1,White,Female,Not Hispanic,1,1813,8,2022
1,Black,Male,Not Hispanic,1,94,8,2022
1,Black,Female,Not Hispanic,1,61,8,2022
1,AIAN,Male,Not Hispanic,1,3,8,2022
1,AIAN,Female,Not Hispanic,1,7,8,2022
1,Asian,Male,Not Hispanic,1,22,8,2022
1,Asian,Female,Not Hispanic,1,18,8,2022
1,NHOPI,Female,Not Hispanic,1,2,8,2022
1,TOM,Male,Not Hispanic,1,24,8,2022
1,TOM,Female,Not Hispanic,1,26,8,2022
1,White,Male,Hispanic,1,42,8,2022
1,White,Female,Hispanic,1,29,8,2022
1,Black,Male,Hispanic,1,8,8,2022
1,Black,Female,Hispanic,1,4,8,2022
1,Asian,Male,Hispanic,1,2,8,2022
1,TOM,Male,Hispanic,1,2,8,2022
1,TOM,Female,Hispanic,1,3,8,2022
1,White,Male,Not Hispanic,1,1847,9,2022
1,White,Female,Not Hispanic,1,1782,9,2022
1,Black,Male,Not Hispanic,1,87,9,2022
1,Black,Female,Not Hispanic,1,58,9,2022
1,AIAN,Male,Not Hispanic,1,1,9,2022
1,AIAN,Female,Not Hispanic,1,4,9,2022
1,Asian,Male,Not Hispanic,1,18,9,2022
1,Asian,Female,Not Hispanic,1,25,9,2022
1,NHOPI,Male,Not Hispanic,1,3,9,2022
1,NHOPI,Female,Not Hispanic,1,1,9,2022
1,TOM,Male,Not Hispanic,1,17,9,2022
1,TOM,Female,Not Hispanic,1,22,9,2022
1,White,Male,Hispanic,1,33,9,2022
1,White,Female,Hispanic,1,27,9,2022
1,Black,Male,Hispanic,1,9,9,2022
1,Black,Female,Hispanic,1,2,9,2022
1,AIAN,Female,Hispanic,1,2,9,2022
1,Asian,Female,Hispanic,1,1,9,2022
1,TOM,Female,Hispanic,1,3,9,2022
1,White,Male,Not Hispanic,1,1560,10,2022
1,White,Female,Not Hispanic,1,1521,10,2022
1,Black,Male,Not Hispanic,1,84,10,2022
1,Black,Female,Not Hispanic,1,71,10,2022
1,AIAN,Male,Not Hispanic,1,3,10,2022
1,AIAN,Female,Not Hispanic,1,6,10,2022
1,Asian,Male,Not Hispanic,1,19,10,2022
1,Asian,Female,Not Hispanic,1,23,10,2022
1,NHOPI,Female,Not Hispanic,1,1,10,2022
1,TOM,Male,Not Hispanic,1,19,10,2022
1,TOM,Female,Not Hispanic,1,19,10,2022
1,White,Male,Hispanic,1,30,10,2022
1,White,Female,Hispanic,1,20,10,2022
1,Black,Male,Hispanic,1,4,10,2022
1,Black,Female,Hispanic,1,1,10,2022
1,AIAN,Male,Hispanic,1,4,10,2022
1,TOM,Male,Hispanic,1,1,10,2022
1,TOM,Female,Hispanic,1,3,10,2022
1,White,Male,Not Hispanic,1,1747,11,2022
1,White,Female,Not Hispanic,1,1800,11,2022
1,Black,Male,Not Hispanic,1,60,11,2022
1,Black,Female,Not Hispanic,1,56,11,2022
1,AIAN,Male,Not Hispanic,1,3,11,2022
1,AIAN,Female,Not Hispanic,1,1,11,2022
1,Asian,Male,Not Hispanic,1,10,11,2022
1,Asian,Female,Not Hispanic,1,16,11,2022
1,NHOPI,Male,Not Hispanic,1,1,11,2022
1,NHOPI,Female,Not Hispanic,1,1,11,2022
1,TOM,Male,Not Hispanic,1,11,11,2022
1,TOM,Female,Not Hispanic,1,10,11,2022
1,White,Male,Hispanic,1,26,11,2022
1,White,Female,Hispanic,1,33,11,2022
1,Black,Female,Hispanic,1,1,11,2022
1,AIAN,Male,Hispanic,1,2,11,2022
1,AIAN,Female,Hispanic,1,2,11,2022
1,Asian,Male,Hispanic,1,1,11,2022
1,TOM,Male,Hispanic,1,1,11,2022
1,TOM,Female,Hispanic,1,1,11,2022
1,White,Male,Not Hispanic,1,1977,12,2022
1,White,Female,Not Hispanic,1,2015,12,2022
1,Black,Male,Not Hispanic,1,68,12,2022
1,Black,Female,Not Hispanic,1,47,12,2022
1,AIAN,Male,Not Hispanic,1,14,12,2022
1,AIAN,Female,Not Hispanic,1,3,12,2022
1,Asian,Male,Not Hispanic,1,15,12,2022
1,Asian,Female,Not Hispanic,1,12,12,2022
1,TOM,Male,Not Hispanic,1,17,12,2022
1,TOM,Female,Not Hispanic,1,12,12,2022
1,White,Male,Hispanic,1,18,12,2022
1,White,Female,Hispanic,1,18,12,2022
1,Black,Male,Hispanic,1,4,12,2022
1,AIAN,Male,Hispanic,1,1,12,2022
1,AIAN,Female,Hispanic,1,1,12,2022
1,Asian,Female,Hispanic,1,1,12,2022
1,TOM,Male,Hispanic,1,1,12,2022
1,TOM,Female,Hispanic,1,1,12,2022
1,White,Male,Not Hispanic,1,2153,13,2022
1,White,Female,Not Hispanic,1,2186,13,2022
1,Black,Male,Not Hispanic,1,76,13,2022
1,Black,Female,Not Hispanic,1,74,13,2022
1,AIAN,Male,Not Hispanic,1,6,13,2022
1,AIAN,Female,Not Hispanic,1,4,13,2022
1,Asian,Male,Not Hispanic,1,10,13,2022
1,Asian,Female,Not Hispanic,1,24,13,2022
1,TOM,Male,Not Hispanic,1,8,13,2022
1,TOM,Female,Not Hispanic,1,8,13,2022
1,White,Male,Hispanic,1,4,13,2022
1,White,Female,Hispanic,1,21,13,2022
1,Black,Female,Hispanic,1,4,13,2022
1,AIAN,Male,Hispanic,1,2,13,2022
1,Asian,Male,Hispanic,1,3,13,2022
1,TOM,Female,Hispanic,1,1,13,2022
1,White,Male,Not Hispanic,1,1842,14,2022
1,White,Female,Not Hispanic,1,2000,14,2022
1,Black,Male,Not Hispanic,1,66,14,2022
1,Black,Female,Not Hispanic,1,59,14,2022
1,AIAN,Male,Not Hispanic,1,2,14,2022
1,AIAN,Female,Not Hispanic,1,6,14,2022
1,Asian,Male,Not Hispanic,1,14,14,2022
1,Asian,Female,Not Hispanic,1,21,14,2022
1,NHOPI,Male,Not Hispanic,1,1,14,2022
1,NHOPI,Female,Not Hispanic,1,1,14,2022
1,TOM,Male,Not Hispanic,1,9,14,2022
1,TOM,Female,Not Hispanic,1,11,14,2022
1,White,Male,Hispanic,1,8,14,2022
1,White,Female,Hispanic,1,15,14,2022
1,AIAN,Female,Hispanic,1,1,14,2022
1,TOM,Female,Hispanic,1,1,14,2022
1,White,Male,Not Hispanic,1,1566,15,2022
1,White,Female,Not Hispanic,1,1666,15,2022
1,Black,Male,Not Hispanic,1,38,15,2022
1,Black,Female,Not Hispanic,1,41,15,2022
1,AIAN,Male,Not Hispanic,1,2,15,2022
1,AIAN,Female,Not Hispanic,1,3,15,2022
1,Asian,Male,Not Hispanic,1,16,15,2022
1,Asian,Female,Not Hispanic,1,12,15,2022
1,NHOPI,Male,Not Hispanic,1,1,15,2022
1,NHOPI,Female,Not Hispanic,1,2,15,2022
1,TOM,Male,Not Hispanic,1,8,15,2022
1,TOM,Female,Not Hispanic,1,3,15,2022
1,White,Male,Hispanic,1,10,15,2022
1,White,Female,Hispanic,1,7,15,2022
1,AIAN,Male,Hispanic,1,1,15,2022
1,AIAN,Female,Hispanic,1,1,15,2022
1,Asian,Male,Hispanic,1,1,15,2022
1,White,Male,Not Hispanic,1,1036,16,2022
1,White,Female,Not Hispanic,1,1285,16,2022
1,Black,Male,Not Hispanic,1,27,16,2022
1,Black,Female,Not Hispanic,1,24,16,2022
1,AIAN,Male,Not Hispanic,1,1,16,2022
1,AIAN,Female,Not Hispanic,1,1,16,2022
1,Asian,Male,Not Hispanic,1,9,16,2022
1,Asian,Female,Not Hispanic,1,8,16,2022
1,TOM,Male,Not Hispanic,1,5,16,2022
1,TOM,Female,Not Hispanic,1,3,16,2022
1,White,Male,Hispanic,1,9,16,2022
1,White,Female,Hispanic,1,7,16,2022
1,Black,Female,Hispanic,1,1,16,2022
1,TOM,Male,Hispanic,1,2,16,2022
1,TOM,Female,Hispanic,1,1,16,2022
1,White,Male,Not Hispanic,1,719,17,2022
1,White,Female,Not Hispanic,1,898,17,2022
1,Black,Male,Not Hispanic,1,13,17,2022
1,Black,Female,Not Hispanic,1,16,17,2022
1,AIAN,Female,Not Hispanic,1,1,17,2022
1,Asian,Male,Not Hispanic,1,3,17,2022
1,Asian,Female,Not Hispanic,1,6,17,2022
1,TOM,Male,Not Hispanic,1,3,17,2022
1,TOM,Female,Not Hispanic,1,7,17,2022
1,White,Male,Hispanic,1,4,17,2022
1,White,Female,Hispanic,1,5,17,2022
1,AIAN,Male,Hispanic,1,1,17,2022
1,White,Male,Not Hispanic,1,728,18,2022
1,White,Female,Not Hispanic,1,1055,18,2022
1,Black,Male,Not Hispanic,1,22,18,2022
1,Black,Female,Not Hispanic,1,18,18,2022
1,AIAN,Female,Not Hispanic,1,4,18,2022
1,Asian,Male,Not Hispanic,1,6,18,2022
1,Asian,Female,Not Hispanic,1,7,18,2022
1,TOM,Male,Not Hispanic,1,6,18,2022
1,TOM,Female,Not Hispanic,1,14,18,2022
1,White,Male,Hispanic,1,14,18,2022
1,White,Female,Hispanic,1,5,18,2022
1,White,Male,Not Hispanic,3,54,1,2022
1,White,Female,Not Hispanic,3,59,1,2022
1,Black,Male,Not Hispanic,3,34,1,2022
1,Black,Female,Not Hispanic,3,45,1,2022
1,TOM,Male,Not Hispanic,3,18,1,2022
1,TOM,Female,Not Hispanic,3,7,1,2022
1,White,Male,Hispanic,3,2,1,2022
1,White,Female,Hispanic,3,2,1,2022
1,Black,Female,Hispanic,3,1,1,2022
1,White,Male,Not Hispanic,3,93,2,2022
1,White,Female,Not Hispanic,3,97,2,2022
1,Black,Male,Not Hispanic,3,50,2,2022
1,Black,Female,Not Hispanic,3,37,2,2022
1,Asian,Male,Not Hispanic,3,1,2,2022
1,TOM,Male,Not Hispanic,3,4,2,2022
1,TOM,Female,Not Hispanic,3,11,2,2022
1,White,Male,Hispanic,3,4,2,2022
1,White,Female,Hispanic,3,6,2,2022
1,Black,Male,Hispanic,3,2,2,2022
1,Black,Female,Hispanic,3,3,2,2022
1,White,Male,Not Hispanic,3,77,3,2022
1,White,Female,Not Hispanic,3,83,3,2022
1,Black,Male,Not Hispanic,3,47,3,2022
1,Black,Female,Not Hispanic,3,53,3,2022
1,TOM,Male,Not Hispanic,3,13,3,2022
1,TOM,Female,Not Hispanic,3,10,3,2022
1,White,Male,Hispanic,3,5,3,2022
1,White,Female,Hispanic,3,5,3,2022
1,Black,Female,Hispanic,3,3,3,2022
1,AIAN,Female,Hispanic,3,1,3,2022
1,TOM,Female,Hispanic,3,3,3,2022
1,White,Male,Not Hispanic,3,95,4,2022
1,White,Female,Not Hispanic,3,76,4,2022
1,Black,Male,Not Hispanic,3,56,4,2022
1,Black,Female,Not Hispanic,3,51,4,2022
1,TOM,Male,Not Hispanic,3,9,4,2022
1,TOM,Female,Not Hispanic,3,7,4,2022
1,White,Male,Hispanic,3,2,4,2022
1,White,Female,Hispanic,3,5,4,2022
1,Black,Male,Hispanic,3,1,4,2022
1,TOM,Male,Hispanic,3,1,4,2022
1,White,Male,Not Hispanic,3,49,5,2022
1,White,Female,Not Hispanic,3,61,5,2022
1,Black,Male,Not Hispanic,3,38,5,2022
1,Black,Female,Not Hispanic,3,36,5,2022
1,AIAN,Male,Not Hispanic,3,1,5,2022
1,Asian,Male,Not Hispanic,3,2,5,2022
1,TOM,Male,Not Hispanic,3,4,5,2022
1,TOM,Female,Not Hispanic,3,5,5,2022
1,White,Male,Hispanic,3,3,5,2022
1,White,Female,Hispanic,3,1,5,2022
1,Black,Female,Hispanic,3,1,5,2022
1,White,Male,Not Hispanic,3,45,6,2022
1,White,Female,Not Hispanic,3,63,6,2022
1,Black,Male,Not Hispanic,3,49,6,2022
1,Black,Female,Not Hispanic,3,30,6,2022
1,TOM,Male,Not Hispanic,3,4,6,2022
1,TOM,Female,Not Hispanic,3,4,6,2022
1,White,Male,Hispanic,3,1,6,2022
1,White,Female,Hispanic,3,2,6,2022
1,Black,Male,Hispanic,3,3,6,2022
1,Black,Female,Hispanic,3,2,6,2022
1,TOM,Female,Hispanic,3,1,6,2022
1,White,Male,Not Hispanic,3,75,7,2022
1,White,Female,Not Hispanic,3,79,7,2022
1,Black,Male,Not Hispanic,3,42,7,2022
1,Black,Female,Not Hispanic,3,47,7,2022
1,AIAN,Male,Not Hispanic,3,1,7,2022
1,NHOPI,Male,Not Hispanic,3,1,7,2022
1,TOM,Male,Not Hispanic,3,1,7,2022
1,White,Male,Hispanic,3,2,7,2022
1,White,Female,Hispanic,3,1,7,2022
1,Black,Male,Hispanic,3,2,7,2022
1,White,Male,Not Hispanic,3,73,8,2022
1,White,Female,Not Hispanic,3,73,8,2022
1,Black,Male,Not Hispanic,3,42,8,2022
1,Black,Female,Not Hispanic,3,29,8,2022
1,AIAN,Female,Not Hispanic,3,1,8,2022
1,NHOPI,Male,Not Hispanic,3,1,8,2022
1,TOM,Male,Not Hispanic,3,4,8,2022
1,TOM,Female,Not Hispanic,3,1,8,2022
1,White,Male,Hispanic,3,2,8,2022
1,White,Female,Hispanic,3,1,8,2022
1,AIAN,Female,Hispanic,3,1,8,2022
1,TOM,Male,Hispanic,3,4,8,2022
1,White,Male,Not Hispanic,3,98,9,2022
1,White,Female,Not Hispanic,3,75,9,2022
1,Black,Male,Not Hispanic,3,31,9,2022
1,Black,Female,Not Hispanic,3,45,9,2022
1,AIAN,Female,Not Hispanic,3,2,9,2022
1,Asian,Male,Not Hispanic,3,1,9,2022
1,NHOPI,Male,Not Hispanic,3,1,9,2022
1,TOM,Male,Not Hispanic,3,1,9,2022
1,TOM,Female,Not Hispanic,3,3,9,2022
1,White,Male,Hispanic,3,3,9,2022
1,White,Female,Hispanic,3,3,9,2022
1,Black,Female,Hispanic,3,1,9,2022
1,White,Male,Not Hispanic,3,75,10,2022
1,White,Female,Not Hispanic,3,87,10,2022
1,Black,Male,Not Hispanic,3,36,10,2022
1,Black,Female,Not Hispanic,3,41,10,2022
1,AIAN,Male,Not Hispanic,3,1,10,2022
1,Asian,Male,Not Hispanic,3,1,10,2022
1,Asian,Female,Not Hispanic,3,1,10,2022
1,NHOPI,Female,Not Hispanic,3,4,10,2022
1,TOM,Male,Not Hispanic,3,2,10,2022
1,TOM,Female,Not Hispanic,3,1,10,2022
1,White,Male,Hispanic,3,1,10,2022
1,White,Female,Hispanic,3,1,10,2022
1,TOM,Male,Hispanic,3,1,10,2022
1,White,Male,Not Hispanic,3,90,11,2022
1,White,Female,Not Hispanic,3,102,11,2022
1,Black,Male,Not Hispanic,3,40,11,2022
1,Black,Female,Not Hispanic,3,50,11,2022
1,AIAN,Male,Not Hispanic,3,1,11,2022
1,NHOPI,Male,Not Hispanic,3,1,11,2022
1,NHOPI,Female,Not Hispanic,3,1,11,2022
1,TOM,Male,Not Hispanic,3,1,11,2022
1,White,Male,Hispanic,3,3,11,2022
1,White,Male,Not Hispanic,3,143,12,2022
1,White,Female,Not Hispanic,3,120,12,2022
1,Black,Male,Not Hispanic,3,54,12,2022
1,Black,Female,Not Hispanic,3,77,12,2022
1,AIAN,Female,Not Hispanic,3,2,12,2022
1,NHOPI,Female,Not Hispanic,3,1,12,2022
1,TOM,Male,Not Hispanic,3,4,12,2022
1,TOM,Female,Not Hispanic,3,1,12,2022
1,White,Male,Hispanic,3,2,12,2022
1,White,Female,Hispanic,3,1,12,2022
1,Black,Male,Hispanic,3,1,12,2022
1,Black,Female,Hispanic,3,1,12,2022
1,White,Male,Not Hispanic,3,141,13,2022
1,White,Female,Not Hispanic,3,135,13,2022
1,Black,Male,Not Hispanic,3,47,13,2022
1,Black,Female,Not Hispanic,3,63,13,2022
1,AIAN,Male,Not Hispanic,3,4,13,2022
1,AIAN,Female,Not Hispanic,3,3,13,2022
1,TOM,Male,Not Hispanic,3,3,13,2022
1,TOM,Female,Not Hispanic,3,1,13,2022
1,White,Male,Hispanic,3,1,13,2022
1,Black,Female,Hispanic,3,1,13,2022
1,White,Male,Not Hispanic,3,137,14,2022
1,White,Female,Not Hispanic,3,134,14,2022
1,Black,Male,Not Hispanic,3,57,14,2022
1,Black,Female,Not Hispanic,3,69,14,2022
1,AIAN,Male,Not Hispanic,3,3,14,2022
1,AIAN,Female,Not Hispanic,3,2,14,2022
1,Asian,Female,Not Hispanic,3,2,14,2022
1,TOM,Male,Not Hispanic,3,2,14,2022
1,TOM,Female,Not Hispanic,3,1,14,2022
1,White,Male,Hispanic,3,1,14,2022
1,White,Female,Hispanic,3,1,14,2022
1,White,Male,Not Hispanic,3,103,15,2022
1,White,Female,Not Hispanic,3,110,15,2022
1,Black,Male,Not Hispanic,3,46,15,2022
1,Black,Female,Not Hispanic,3,53,15,2022
1,AIAN,Male,Not Hispanic,3,1,15,2022
1,Asian,Female,Not Hispanic,3,1,15,2022
1,NHOPI,Male,Not Hispanic,3,1,15,2022
1,TOM,Female,Not Hispanic,3,2,15,2022
1,White,Male,Hispanic,3,2,15,2022
1,White,Female,Hispanic,3,1,15,2022
1,White,Male,Not Hispanic,3,69,16,2022
1,White,Female,Not Hispanic,3,78,16,2022
1,Black,Male,Not Hispanic,3,11,16,2022
1,Black,Female,Not Hispanic,3,21,16,2022
1,AIAN,Male,Not Hispanic,3,1,16,2022
1,AIAN,Female,Not Hispanic,3,2,16,2022
1,TOM,Female,Not Hispanic,3,1,16,2022
1,White,Male,Hispanic,3,2,16,2022
1,White,Female,Hispanic,3,1,16,2022
1,White,Male,Not Hispanic,3,49,17,2022
1,White,Female,Not Hispanic,3,67,17,2022
1,Black,Male,Not Hispanic,3,14,17,2022
1,Black,Female,Not Hispanic,3,17,17,2022
1,TOM,Male,Not Hispanic,3,1,17,2022
1,TOM,Female,Not Hispanic,3,1,17,2022
1,White,Female,Hispanic,3,1,17,2022
1,Black,Female,Hispanic,3,1,17,2022
1,White,Male,Not Hispanic,3,33,18,2022
1,White,Female,Not Hispanic,3,61,18,2022
1,Black,Male,Not Hispanic,3,19,18,2022
1,Black,Female,Not Hispanic,3,18,18,2022
1,AIAN,Male,Not Hispanic,3,1,18,2022
1,Asian,Male,Not Hispanic,3,1,18,2022
1,Asian,Female,Not Hispanic,3,2,18,2022
1,TOM,Male,Not Hispanic,3,3,18,2022
1,TOM,Female,Not Hispanic,3,3,18,2022
1,White,Female,Hispanic,3,2,18,2022
1,White,Male,Not Hispanic,5,329,1,2022
1,White,Female,Not Hispanic,5,302,1,2022
1,Black,Male,Not Hispanic,5,9,1,2022
1,Black,Female,Not Hispanic,5,9,1,2022
1,AIAN,Male,Not Hispanic,5,3,1,2022
1,AIAN,Female,Not Hispanic,5,1,1,2022
1,Asian,Male,Not Hispanic,5,1,1,2022
1,Asian,Female,Not Hispanic,5,2,1,2022
1,TOM,Male,Not Hispanic,5,24,1,2022
1,TOM,Female,Not Hispanic,5,20,1,2022
1,White,Male,Hispanic,5,7,1,2022
1,White,Female,Hispanic,5,7,1,2022
1,AIAN,Female,Hispanic,5,4,1,2022
1,TOM,Male,Hispanic,5,1,1,2022
1,TOM,Female,Hispanic,5,2,1,2022
1,White,Male,Not Hispanic,5,358,2,2022
1,White,Female,Not Hispanic,5,326,2,2022
1,Black,Male,Not Hispanic,5,11,2,2022
1,Black,Female,Not Hispanic,5,13,2,2022
1,AIAN,Male,Not Hispanic,5,2,2,2022
1,AIAN,Female,Not Hispanic,5,3,2,2022
1,Asian,Male,Not Hispanic,5,2,2,2022
1,TOM,Male,Not Hispanic,5,25,2,2022
1,TOM,Female,Not Hispanic,5,31,2,2022
1,White,Male,Hispanic,5,6,2,2022
1,White,Female,Hispanic,5,13,2,2022
1,AIAN,Male,Hispanic,5,4,2,2022
1,AIAN,Female,Hispanic,5,2,2,2022
1,White,Male,Not Hispanic,5,423,3,2022
1,White,Female,Not Hispanic,5,379,3,2022
1,Black,Male,Not Hispanic,5,9,3,2022
1,Black,Female,Not Hispanic,5,10,3,2022
1,AIAN,Male,Not Hispanic,5,1,3,2022
1,Asian,Male,Not Hispanic,5,7,3,2022
1,TOM,Male,Not Hispanic,5,25,3,2022
1,TOM,Female,Not Hispanic,5,13,3,2022
1,White,Male,Hispanic,5,16,3,2022
1,White,Female,Hispanic,5,10,3,2022
1,AIAN,Female,Hispanic,5,1,3,2022
1,Asian,Female,Hispanic,5,1,3,2022
1,NHOPI,Male,Hispanic,5,1,3,2022
1,White,Male,Not Hispanic,5,609,4,2022
1,White,Female,Not Hispanic,5,608,4,2022
1,Black,Male,Not Hispanic,5,20,4,2022
1,Black,Female,Not Hispanic,5,24,4,2022
1,AIAN,Female,Not Hispanic,5,3,4,2022
1,Asian,Male,Not Hispanic,5,8,4,2022
1,Asian,Female,Not Hispanic,5,3,4,2022
1,TOM,Male,Not Hispanic,5,11,4,2022
1,TOM,Female,Not Hispanic,5,9,4,2022
1,White,Male,Hispanic,5,22,4,2022
1,White,Female,Hispanic,5,6,4,2022
