Illinois,Race,Sex,Ethnicity,County,Count,Age,Year
17,White,Male,Not Hispanic,1,1748,1,2019
17,White,Female,Not Hispanic,1,1647,1,2019
17,Black,Male,Not Hispanic,1,117,1,2019
17,Black,Female,Not Hispanic,1,116,1,2019
17,AIAN,Male,Not Hispanic,1,3,1,2019
17,Asian,Male,Not Hispanic,1,35,1,2019
17,Asian,Female,Not Hispanic,1,41,1,2019
17,TOM,Male,Not Hispanic,1,136,1,2019
17,TOM,Female,Not Hispanic,1,128,1,2019
17,White,Male,Hispanic,1,50,1,2019
17,White,Female,Hispanic,1,37,1,2019
17,Black,Male,Hispanic,1,11,1,2019
17,Black,Female,Hispanic,1,7,1,2019
17,AIAN,Male,Hispanic,1,5,1,2019
17,AIAN,Female,Hispanic,1,6,1,2019
17,TOM,Male,Hispanic,1,4,1,2019
17,TOM,Female,Hispanic,1,5,1,2019
17,White,Male,Not Hispanic,1,1828,2,2019
17,White,Female,Not Hispanic,1,1674,2,2019
17,Black,Male,Not Hispanic,1,99,2,2019
17,Black,Female,Not Hispanic,1,74,2,2019
17,AIAN,Male,Not Hispanic,1,4,2,2019
17,AIAN,Female,Not Hispanic,1,2,2,2019
17,Asian,Male,Not Hispanic,1,18,2,2019
17,Asian,Female,Not Hispanic,1,23,2,2019
17,NHOPI,Male,Not Hispanic,1,1,2,2019
17,NHOPI,Female,Not Hispanic,1,3,2,2019
17,TOM,Male,Not Hispanic,1,119,2,2019
17,TOM,Female,Not Hispanic,1,88,2,2019
17,White,Male,Hispanic,1,47,2,2019
17,White,Female,Hispanic,1,49,2,2019
17,Black,Male,Hispanic,1,7,2,2019
17,Black,Female,Hispanic,1,4,2,2019
17,AIAN,Male,Hispanic,1,4,2,2019
17,AIAN,Female,Hispanic,1,4,2,2019
17,TOM,Male,Hispanic,1,8,2,2019
17,TOM,Female,Hispanic,1,6,2,2019
17,White,Male,Not Hispanic,1,1848,3,2019
17,White,Female,Not Hispanic,1,1799,3,2019
17,Black,Male,Not Hispanic,1,92,3,2019
17,Black,Female,Not Hispanic,1,95,3,2019
17,AIAN,Male,Not Hispanic,1,2,3,2019
17,AIAN,Female,Not Hispanic,1,5,3,2019
17,Asian,Male,Not Hispanic,1,25,3,2019
17,Asian,Female,Not Hispanic,1,15,3,2019
17,NHOPI,Male,Not Hispanic,1,1,3,2019
17,TOM,Male,Not Hispanic,1,105,3,2019
17,TOM,Female,Not Hispanic,1,92,3,2019
17,White,Male,Hispanic,1,39,3,2019
17,White,Female,Hispanic,1,37,3,2019
17,Black,Male,Hispanic,1,5,3,2019
17,Black,Female,Hispanic,1,5,3,2019
17,AIAN,Male,Hispanic,1,2,3,2019
17,AIAN,Female,Hispanic,1,1,3,2019
17,Asian,Male,Hispanic,1,1,3,2019
17,TOM,Male,Hispanic,1,3,3,2019
17,TOM,Female,Hispanic,1,4,3,2019
17,White,Male,Not Hispanic,1,1719,4,2019
17,White,Female,Not Hispanic,1,1598,4,2019
17,Black,Male,Not Hispanic,1,108,4,2019
17,Black,Female,Not Hispanic,1,105,4,2019
17,AIAN,Male,Not Hispanic,1,3,4,2019
17,AIAN,Female,Not Hispanic,1,2,4,2019
17,Asian,Male,Not Hispanic,1,10,4,2019
17,Asian,Female,Not Hispanic,1,10,4,2019
17,TOM,Male,Not Hispanic,1,77,4,2019
17,TOM,Female,Not Hispanic,1,84,4,2019
17,White,Male,Hispanic,1,33,4,2019
17,White,Female,Hispanic,1,44,4,2019
17,Black,Male,Hispanic,1,4,4,2019
17,Black,Female,Hispanic,1,4,4,2019
17,AIAN,Male,Hispanic,1,19,4,2019
17,AIAN,Female,Hispanic,1,2,4,2019
17,Asian,Male,Hispanic,1,1,4,2019
17,Asian,Female,Hispanic,1,1,4,2019
17,TOM,Male,Hispanic,1,8,4,2019
17,TOM,Female,Hispanic,1,8,4,2019
17,White,Male,Not Hispanic,1,1574,5,2019
17,White,Female,Not Hispanic,1,1549,5,2019
17,Black,Male,Not Hispanic,1,112,5,2019
17,Black,Female,Not Hispanic,1,96,5,2019
17,AIAN,Male,Not Hispanic,1,4,5,2019
17,AIAN,Female,Not Hispanic,1,3,5,2019
17,Asian,Male,Not Hispanic,1,7,5,2019
17,Asian,Female,Not Hispanic,1,32,5,2019
17,NHOPI,Female,Not Hispanic,1,1,5,2019
17,TOM,Male,Not Hispanic,1,49,5,2019
17,TOM,Female,Not Hispanic,1,44,5,2019
17,White,Male,Hispanic,1,34,5,2019
17,White,Female,Hispanic,1,30,5,2019
17,Black,Male,Hispanic,1,3,5,2019
17,Black,Female,Hispanic,1,3,5,2019
17,AIAN,Male,Hispanic,1,10,5,2019
17,AIAN,Female,Hispanic,1,1,5,2019
17,Asian,Male,Hispanic,1,2,5,2019
17,Asian,Female,Hispanic,1,2,5,2019
17,NHOPI,Female,Hispanic,1,1,5,2019
17,TOM,Male,Hispanic,1,7,5,2019
17,TOM,Female,Hispanic,1,2,5,2019
17,White,Male,Not Hispanic,1,1765,6,2019
17,White,Female,Not Hispanic,1,1801,6,2019
17,Black,Male,Not Hispanic,1,118,6,2019
17,Black,Female,Not Hispanic,1,88,6,2019
17,AIAN,Male,Not Hispanic,1,1,6,2019
17,AIAN,Female,Not Hispanic,1,1,6,2019
17,Asian,Male,Not Hispanic,1,7,6,2019
17,Asian,Female,Not Hispanic,1,24,6,2019
17,TOM,Male,Not Hispanic,1,33,6,2019
17,TOM,Female,Not Hispanic,1,48,6,2019
17,White,Male,Hispanic,1,33,6,2019
17,White,Female,Hispanic,1,40,6,2019
17,Black,Male,Hispanic,1,1,6,2019
17,Black,Female,Hispanic,1,3,6,2019
17,AIAN,Male,Hispanic,1,2,6,2019
17,Asian,Male,Hispanic,1,2,6,2019
17,TOM,Female,Hispanic,1,6,6,2019
17,White,Male,Not Hispanic,1,1769,7,2019
17,White,Female,Not Hispanic,1,1790,7,2019
17,Black,Male,Not Hispanic,1,95,7,2019
17,Black,Female,Not Hispanic,1,81,7,2019
17,AIAN,Male,Not Hispanic,1,3,7,2019
17,AIAN,Female,Not Hispanic,1,9,7,2019
17,Asian,Male,Not Hispanic,1,29,7,2019
17,Asian,Female,Not Hispanic,1,11,7,2019
17,NHOPI,Female,Not Hispanic,1,1,7,2019
17,TOM,Male,Not Hispanic,1,28,7,2019
17,TOM,Female,Not Hispanic,1,30,7,2019
17,White,Male,Hispanic,1,47,7,2019
17,White,Female,Hispanic,1,25,7,2019
17,Black,Male,Hispanic,1,7,7,2019
17,Black,Female,Hispanic,1,4,7,2019
17,Asian,Male,Hispanic,1,1,7,2019
17,TOM,Male,Hispanic,1,2,7,2019
17,TOM,Female,Hispanic,1,5,7,2019
17,White,Male,Not Hispanic,1,1799,8,2019
17,White,Female,Not Hispanic,1,1862,8,2019
17,Black,Male,Not Hispanic,1,89,8,2019
17,Black,Female,Not Hispanic,1,55,8,2019
17,AIAN,Male,Not Hispanic,1,2,8,2019
17,AIAN,Female,Not Hispanic,1,3,8,2019
17,Asian,Male,Not Hispanic,1,22,8,2019
17,Asian,Female,Not Hispanic,1,29,8,2019
17,NHOPI,Male,Not Hispanic,1,3,8,2019
17,TOM,Male,Not Hispanic,1,23,8,2019
17,TOM,Female,Not Hispanic,1,28,8,2019
17,White,Male,Hispanic,1,25,8,2019
17,White,Female,Hispanic,1,40,8,2019
17,Black,Male,Hispanic,1,4,8,2019
17,Black,Female,Hispanic,1,3,8,2019
17,Asian,Male,Hispanic,1,1,8,2019
17,Asian,Female,Hispanic,1,1,8,2019
17,TOM,Female,Hispanic,1,1,8,2019
17,White,Male,Not Hispanic,1,1659,9,2019
17,White,Female,Not Hispanic,1,1602,9,2019
17,Black,Male,Not Hispanic,1,83,9,2019
17,Black,Female,Not Hispanic,1,69,9,2019
17,AIAN,Male,Not Hispanic,1,1,9,2019
17,AIAN,Female,Not Hispanic,1,5,9,2019
17,Asian,Male,Not Hispanic,1,25,9,2019
17,Asian,Female,Not Hispanic,1,28,9,2019
17,NHOPI,Female,Not Hispanic,1,1,9,2019
17,TOM,Male,Not Hispanic,1,15,9,2019
17,TOM,Female,Not Hispanic,1,18,9,2019
17,White,Male,Hispanic,1,27,9,2019
17,White,Female,Hispanic,1,16,9,2019
17,Black,Male,Hispanic,1,6,9,2019
17,Black,Female,Hispanic,1,1,9,2019
17,AIAN,Male,Hispanic,1,1,9,2019
17,AIAN,Female,Hispanic,1,2,9,2019
17,TOM,Male,Hispanic,1,2,9,2019
17,TOM,Female,Hispanic,1,4,9,2019
17,White,Male,Not Hispanic,1,1662,10,2019
17,White,Female,Not Hispanic,1,1673,10,2019
17,Black,Male,Not Hispanic,1,50,10,2019
17,Black,Female,Not Hispanic,1,52,10,2019
17,AIAN,Male,Not Hispanic,1,4,10,2019
17,AIAN,Female,Not Hispanic,1,2,10,2019
17,Asian,Male,Not Hispanic,1,13,10,2019
17,Asian,Female,Not Hispanic,1,19,10,2019
17,NHOPI,Female,Not Hispanic,1,1,10,2019
17,TOM,Male,Not Hispanic,1,12,10,2019
17,TOM,Female,Not Hispanic,1,12,10,2019
17,White,Male,Hispanic,1,27,10,2019
17,White,Female,Hispanic,1,29,10,2019
17,Black,Female,Hispanic,1,2,10,2019
17,AIAN,Male,Hispanic,1,3,10,2019
17,Asian,Male,Hispanic,1,1,10,2019
17,TOM,Male,Hispanic,1,1,10,2019
17,TOM,Female,Hispanic,1,2,10,2019
17,White,Male,Not Hispanic,1,1802,11,2019
17,White,Female,Not Hispanic,1,1898,11,2019
17,Black,Male,Not Hispanic,1,61,11,2019
17,Black,Female,Not Hispanic,1,63,11,2019
17,AIAN,Male,Not Hispanic,1,11,11,2019
17,AIAN,Female,Not Hispanic,1,2,11,2019
17,Asian,Male,Not Hispanic,1,12,11,2019
17,Asian,Female,Not Hispanic,1,21,11,2019
17,NHOPI,Male,Not Hispanic,1,1,11,2019
17,TOM,Male,Not Hispanic,1,15,11,2019
17,TOM,Female,Not Hispanic,1,12,11,2019
17,White,Male,Hispanic,1,15,11,2019
17,White,Female,Hispanic,1,23,11,2019
17,Black,Male,Hispanic,1,1,11,2019
17,AIAN,Male,Hispanic,1,2,11,2019
17,AIAN,Female,Hispanic,1,1,11,2019
17,Asian,Female,Hispanic,1,1,11,2019
17,TOM,Female,Hispanic,1,1,11,2019
17,White,Male,Not Hispanic,1,2170,12,2019
17,White,Female,Not Hispanic,1,2284,12,2019
17,Black,Male,Not Hispanic,1,79,12,2019
17,Black,Female,Not Hispanic,1,68,12,2019
17,AIAN,Male,Not Hispanic,1,9,12,2019
17,AIAN,Female,Not Hispanic,1,4,12,2019
17,Asian,Male,Not Hispanic,1,9,12,2019
17,Asian,Female,Not Hispanic,1,20,12,2019
17,TOM,Male,Not Hispanic,1,9,12,2019
17,TOM,Female,Not Hispanic,1,7,12,2019
17,White,Male,Hispanic,1,14,12,2019
17,White,Female,Hispanic,1,10,12,2019
17,Black,Female,Hispanic,1,4,12,2019
17,AIAN,Male,Hispanic,1,2,12,2019
17,Asian,Male,Hispanic,1,2,12,2019
17,TOM,Male,Hispanic,1,2,12,2019
17,TOM,Female,Hispanic,1,2,12,2019
17,White,Male,Not Hispanic,1,2116,13,2019
17,White,Female,Not Hispanic,1,2154,13,2019
17,Black,Male,Not Hispanic,1,68,13,2019
17,Black,Female,Not Hispanic,1,67,13,2019
17,AIAN,Male,Not Hispanic,1,2,13,2019
17,AIAN,Female,Not Hispanic,1,8,13,2019
17,Asian,Male,Not Hispanic,1,16,13,2019
17,Asian,Female,Not Hispanic,1,18,13,2019
17,NHOPI,Male,Not Hispanic,1,1,13,2019
17,TOM,Male,Not Hispanic,1,6,13,2019
17,TOM,Female,Not Hispanic,1,10,13,2019
17,White,Male,Hispanic,1,6,13,2019
17,White,Female,Hispanic,1,18,13,2019
17,AIAN,Female,Hispanic,1,1,13,2019
17,Asian,Male,Hispanic,1,1,13,2019
17,TOM,Female,Hispanic,1,1,13,2019
17,White,Male,Not Hispanic,1,1783,14,2019
17,White,Female,Not Hispanic,1,1906,14,2019
17,Black,Male,Not Hispanic,1,61,14,2019
17,Black,Female,Not Hispanic,1,51,14,2019
17,AIAN,Male,Not Hispanic,1,1,14,2019
17,AIAN,Female,Not Hispanic,1,2,14,2019
17,Asian,Male,Not Hispanic,1,13,14,2019
17,Asian,Female,Not Hispanic,1,13,14,2019
17,NHOPI,Male,Not Hispanic,1,1,14,2019
17,NHOPI,Female,Not Hispanic,1,1,14,2019
17,TOM,Male,Not Hispanic,1,10,14,2019
17,TOM,Female,Not Hispanic,1,6,14,2019
17,White,Male,Hispanic,1,9,14,2019
17,White,Female,Hispanic,1,12,14,2019
17,AIAN,Male,Hispanic,1,1,14,2019
17,AIAN,Female,Hispanic,1,1,14,2019
