Illinois,Race,Sex,Ethnicity,County,Count,Age,Year
17,White,Male,Not Hispanic,1,1548,1,2000
17,White,Female,Not Hispanic,1,1508,1,2000
17,Black,Male,Not Hispanic,1,72,1,2000
17,Black,Female,Not Hispanic,1,81,1,2000
17,AIAN,Male,Not Hispanic,1,2,1,2000
17,AIAN,Female,Not Hispanic,1,5,1,2000
17,Asian,Male,Not Hispanic,1,6,1,2000
17,Asian,Female,Not Hispanic,1,3,1,2000
17,TOM,Male,Not Hispanic,1,41,1,2000
17,TOM,Female,Not Hispanic,1,34,1,2000
17,White,Male,Hispanic,1,16,1,2000
17,White,Female,Hispanic,1,22,1,2000
17,Black,Male,Hispanic,1,1,1,2000
17,Black,Female,Hispanic,1,1,1,2000
17,TOM,Male,Hispanic,1,1,1,2000
17,TOM,Female,Hispanic,1,2,1,2000
17,White,Male,Not Hispanic,1,2199,2,2000
17,White,Female,Not Hispanic,1,2098,2,2000
17,Black,Male,Not Hispanic,1,98,2,2000
17,Black,Female,Not Hispanic,1,106,2,2000
17,AIAN,Male,Not Hispanic,1,2,2,2000
17,AIAN,Female,Not Hispanic,1,4,2,2000
17,Asian,Male,Not Hispanic,1,11,2,2000
17,Asian,Female,Not Hispanic,1,11,2,2000
17,TOM,Male,Not Hispanic,1,39,2,2000
17,TOM,Female,Not Hispanic,1,38,2,2000
17,White,Male,Hispanic,1,33,2,2000
17,White,Female,Hispanic,1,35,2,2000
17,Black,Male,Hispanic,1,1,2,2000
17,Black,Female,Hispanic,1,1,2,2000
17,TOM,Male,Hispanic,1,1,2,2000
17,White,Male,Not Hispanic,1,2323,3,2000
17,White,Female,Not Hispanic,1,2308,3,2000
17,Black,Male,Not Hispanic,1,105,3,2000
17,Black,Female,Not Hispanic,1,110,3,2000
17,AIAN,Male,Not Hispanic,1,1,3,2000
17,AIAN,Female,Not Hispanic,1,4,3,2000
17,Asian,Male,Not Hispanic,1,7,3,2000
17,Asian,Female,Not Hispanic,1,13,3,2000
17,NHOPI,Male,Not Hispanic,1,1,3,2000
