Illinois,Race,Sex,Ethnicity,County,Count,Age,Year
17,White,Male,Not Hispanic,1,1502,1,2008
17,White,Female,Not Hispanic,1,1400,1,2008
17,Black,Male,Not Hispanic,1,80,1,2008
17,Black,Female,Not Hispanic,1,92,1,2008
17,AIAN,Male,Not Hispanic,1,2,1,2008
17,AIAN,Female,Not Hispanic,1,3,1,2008
17,Asian,Male,Not Hispanic,1,11,1,2008
17,Asian,Female,Not Hispanic,1,9,1,2008
17,NHOPI,Female,Not Hispanic,1,1,1,2008
17,TOM,Male,Not Hispanic,1,84,1,2008
17,TOM,Female,Not Hispanic,1,80,1,2008
17,White,Male,Hispanic,1,44,1,2008
17,White,Female,Hispanic,1,27,1,2008
17,Black,Male,Hispanic,1,1,1,2008
17,Black,Female,Hispanic,1,3,1,2008
17,AIAN,Male,Hispanic,1,1,1,2008
17,Asian,Male,Hispanic,1,1,1,2008
17,TOM,Male,Hispanic,1,5,1,2008
17,TOM,Female,Hispanic,1,2,1,2008
17,White,Male,Not Hispanic,1,1932,2,2008
17,White,Female,Not Hispanic,1,1823,2,2008
17,Black,Male,Not Hispanic,1,100,2,2008
17,Black,Female,Not Hispanic,1,107,2,2008
17,AIAN,Male,Not Hispanic,1,3,2,2008
17,AIAN,Female,Not Hispanic,1,1,2,2008
17,Asian,Male,Not Hispanic,1,11,2,2008
17,Asian,Female,Not Hispanic,1,10,2,2008
17,NHOPI,Female,Not Hispanic,1,1,2,2008
17,TOM,Male,Not Hispanic,1,73,2,2008
17,TOM,Female,Not Hispanic,1,69,2,2008
17,White,Male,Hispanic,1,32,2,2008
17,White,Female,Hispanic,1,33,2,2008
17,Black,Male,Hispanic,1,3,2,2008
17,Black,Female,Hispanic,1,5,2,2008
17,AIAN,Male,Hispanic,1,2,2,2008
17,AIAN,Female,Hispanic,1,3,2,2008
17,TOM,Male,Hispanic,1,7,2,2008
17,TOM,Female,Hispanic,1,8,2,2008
17,White,Male,Not Hispanic,1,2023,3,2008
17,White,Female,Not Hispanic,1,1899,3,2008
17,Black,Male,Not Hispanic,1,82,3,2008
17,Black,Female,Not Hispanic,1,98,3,2008
17,AIAN,Male,Not Hispanic,1,4,3,2008
17,AIAN,Female,Not Hispanic,1,1,3,2008
17,Asian,Male,Not Hispanic,1,8,3,2008
17,Asian,Female,Not Hispanic,1,14,3,2008
17,TOM,Male,Not Hispanic,1,65,3,2008
17,TOM,Female,Not Hispanic,1,55,3,2008
17,White,Male,Hispanic,1,23,3,2008
17,White,Female,Hispanic,1,34,3,2008
17,Black,Male,Hispanic,1,3,3,2008
17,Black,Female,Hispanic,1,2,3,2008
17,AIAN,Male,Hispanic,1,3,3,2008
17,Asian,Male,Hispanic,1,3,3,2008
17,Asian,Female,Hispanic,1,3,3,2008
17,TOM,Male,Hispanic,1,3,3,2008
17,White,Male,Not Hispanic,1,2201,4,2008
17,White,Female,Not Hispanic,1,2147,4,2008
17,Black,Male,Not Hispanic,1,128,4,2008
17,Black,Female,Not Hispanic,1,105,4,2008
17,AIAN,Male,Not Hispanic,1,2,4,2008
17,AIAN,Female,Not Hispanic,1,4,4,2008
17,Asian,Male,Not Hispanic,1,16,4,2008
17,Asian,Female,Not Hispanic,1,8,4,2008
17,TOM,Male,Not Hispanic,1,46,4,2008
17,TOM,Female,Not Hispanic,1,56,4,2008
17,White,Male,Hispanic,1,28,4,2008
17,White,Female,Hispanic,1,50,4,2008
17,Black,Male,Hispanic,1,3,4,2008
17,Black,Female,Hispanic,1,3,4,2008
17,Asian,Male,Hispanic,1,2,4,2008
17,TOM,Male,Hispanic,1,3,4,2008
17,TOM,Female,Hispanic,1,2,4,2008
17,White,Male,Not Hispanic,1,1874,5,2008
17,White,Female,Not Hispanic,1,1904,5,2008
17,Black,Male,Not Hispanic,1,100,5,2008
17,Black,Female,Not Hispanic,1,100,5,2008
17,AIAN,Male,Not Hispanic,1,6,5,2008
17,AIAN,Female,Not Hispanic,1,7,5,2008
17,Asian,Male,Not Hispanic,1,13,5,2008
17,Asian,Female,Not Hispanic,1,8,5,2008
17,NHOPI,Female,Not Hispanic,1,1,5,2008
17,TOM,Male,Not Hispanic,1,34,5,2008
17,TOM,Female,Not Hispanic,1,31,5,2008
17,White,Male,Hispanic,1,33,5,2008
17,White,Female,Hispanic,1,29,5,2008
17,Black,Male,Hispanic,1,4,5,2008
17,Black,Female,Hispanic,1,5,5,2008
17,Asian,Male,Hispanic,1,2,5,2008
17,TOM,Female,Hispanic,1,5,5,2008
17,White,Male,Not Hispanic,1,1808,6,2008
17,White,Female,Not Hispanic,1,1810,6,2008
17,Black,Male,Not Hispanic,1,82,6,2008
17,Black,Female,Not Hispanic,1,78,6,2008
17,AIAN,Male,Not Hispanic,1,4,6,2008
17,AIAN,Female,Not Hispanic,1,3,6,2008
17,Asian,Male,Not Hispanic,1,13,6,2008
17,Asian,Female,Not Hispanic,1,22,6,2008
17,NHOPI,Male,Not Hispanic,1,1,6,2008
17,TOM,Male,Not Hispanic,1,30,6,2008
17,TOM,Female,Not Hispanic,1,25,6,2008
17,White,Male,Hispanic,1,33,6,2008
17,White,Female,Hispanic,1,40,6,2008
17,Black,Female,Hispanic,1,2,6,2008
17,Asian,Male,Hispanic,1,1,6,2008
17,TOM,Female,Hispanic,1,2,6,2008
17,White,Male,Not Hispanic,1,1598,7,2008
17,White,Female,Not Hispanic,1,1654,7,2008
17,Black,Male,Not Hispanic,1,65,7,2008
17,Black,Female,Not Hispanic,1,44,7,2008
17,AIAN,Male,Not Hispanic,1,1,7,2008
17,AIAN,Female,Not Hispanic,1,4,7,2008
17,Asian,Male,Not Hispanic,1,15,7,2008
17,Asian,Female,Not Hispanic,1,23,7,2008
17,TOM,Male,Not Hispanic,1,17,7,2008
17,TOM,Female,Not Hispanic,1,15,7,2008
17,White,Male,Hispanic,1,23,7,2008
17,White,Female,Hispanic,1,19,7,2008
17,Black,Male,Hispanic,1,4,7,2008
17,Black,Female,Hispanic,1,1,7,2008
17,AIAN,Female,Hispanic,1,2,7,2008
17,Asian,Female,Hispanic,1,1,7,2008
17,TOM,Female,Hispanic,1,1,7,2008
17,White,Male,Not Hispanic,1,1843,8,2008
17,White,Female,Not Hispanic,1,1882,8,2008
17,Black,Male,Not Hispanic,1,67,8,2008
17,Black,Female,Not Hispanic,1,77,8,2008
17,AIAN,Male,Not Hispanic,1,7,8,2008
17,AIAN,Female,Not Hispanic,1,1,8,2008
17,Asian,Male,Not Hispanic,1,19,8,2008
17,Asian,Female,Not Hispanic,1,12,8,2008
17,NHOPI,Female,Not Hispanic,1,1,8,2008
17,TOM,Male,Not Hispanic,1,12,8,2008
17,TOM,Female,Not Hispanic,1,12,8,2008
17,White,Male,Hispanic,1,17,8,2008
17,White,Female,Hispanic,1,27,8,2008
17,Black,Female,Hispanic,1,2,8,2008
17,AIAN,Male,Hispanic,1,2,8,2008
17,Asian,Male,Hispanic,1,1,8,2008
17,TOM,Female,Hispanic,1,2,8,2008
17,White,Male,Not Hispanic,1,1989,9,2008
17,White,Female,Not Hispanic,1,2077,9,2008
17,Black,Male,Not Hispanic,1,74,9,2008
17,Black,Female,Not Hispanic,1,56,9,2008
17,AIAN,Male,Not Hispanic,1,5,9,2008
17,AIAN,Female,Not Hispanic,1,3,9,2008
17,Asian,Male,Not Hispanic,1,19,9,2008
17,Asian,Female,Not Hispanic,1,13,9,2008
17,NHOPI,Male,Not Hispanic,1,1,9,2008
17,TOM,Male,Not Hispanic,1,16,9,2008
17,TOM,Female,Not Hispanic,1,10,9,2008
17,White,Male,Hispanic,1,21,9,2008
17,White,Female,Hispanic,1,16,9,2008
17,Black,Male,Hispanic,1,1,9,2008
17,Black,Female,Hispanic,1,1,9,2008
17,AIAN,Male,Hispanic,1,2,9,2008
17,AIAN,Female,Hispanic,1,1,9,2008
17,TOM,Male,Hispanic,1,1,9,2008
17,TOM,Female,Hispanic,1,1,9,2008
17,White,Male,Not Hispanic,1,2372,10,2008
17,White,Female,Not Hispanic,1,2359,10,2008
17,Black,Male,Not Hispanic,1,87,10,2008
17,Black,Female,Not Hispanic,1,59,10,2008
17,AIAN,Male,Not Hispanic,1,7,10,2008
17,AIAN,Female,Not Hispanic,1,2,10,2008
17,Asian,Male,Not Hispanic,1,10,10,2008
17,Asian,Female,Not Hispanic,1,12,10,2008
17,TOM,Male,Not Hispanic,1,15,10,2008
17,TOM,Female,Not Hispanic,1,13,10,2008
17,White,Male,Hispanic,1,19,10,2008
17,White,Female,Hispanic,1,11,10,2008
17,Black,Female,Hispanic,1,3,10,2008
17,Asian,Male,Hispanic,1,1,10,2008
17,Asian,Female,Hispanic,1,1,10,2008
17,White,Male,Not Hispanic,1,2285,11,2008
17,White,Female,Not Hispanic,1,2320,11,2008
17,Black,Male,Not Hispanic,1,81,11,2008
17,Black,Female,Not Hispanic,1,57,11,2008
17,AIAN,Male,Not Hispanic,1,3,11,2008
17,AIAN,Female,Not Hispanic,1,8,11,2008
