Illinois,Race,Sex,Ethnicity,County,Count,Age,Year
17,White,Male,Not Hispanic,1,1823,1,2011
17,White,Female,Not Hispanic,1,1791,1,2011
17,Black,Male,Not Hispanic,1,137,1,2011
17,Black,Female,Not Hispanic,1,95,1,2011
17,AIAN,Male,Not Hispanic,1,4,1,2011
17,AIAN,Female,Not Hispanic,1,3,1,2011
17,Asian,Male,Not Hispanic,1,19,1,2011
17,Asian,Female,Not Hispanic,1,18,1,2011
17,NHOPI,Female,Not Hispanic,1,2,1,2011
17,TOM,Male,Not Hispanic,1,140,1,2011
17,TOM,Female,Not Hispanic,1,106,1,2011
17,White,Male,Hispanic,1,35,1,2011
17,White,Female,Hispanic,1,33,1,2011
17,Black,Male,Hispanic,1,2,1,2011
17,Black,Female,Hispanic,1,1,1,2011
17,AIAN,Male,Hispanic,1,1,1,2011
17,TOM,Male,Hispanic,1,6,1,2011
17,TOM,Female,Hispanic,1,2,1,2011
17,White,Male,Not Hispanic,1,1936,2,2011
17,White,Female,Not Hispanic,1,1776,2,2011
17,Black,Male,Not Hispanic,1,104,2,2011
17,Black,Female,Not Hispanic,1,120,2,2011
17,AIAN,Male,Not Hispanic,1,3,2,2011
17,AIAN,Female,Not Hispanic,1,1,2,2011
17,Asian,Male,Not Hispanic,1,22,2,2011
17,Asian,Female,Not Hispanic,1,18,2,2011
17,NHOPI,Female,Not Hispanic,1,1,2,2011
17,TOM,Male,Not Hispanic,1,87,2,2011
17,TOM,Female,Not Hispanic,1,95,2,2011
17,White,Male,Hispanic,1,36,2,2011
17,White,Female,Hispanic,1,46,2,2011
17,Black,Male,Hispanic,1,3,2,2011
17,Black,Female,Hispanic,1,7,2,2011
17,AIAN,Male,Hispanic,1,1,2,2011
17,AIAN,Female,Hispanic,1,3,2,2011
17,Asian,Male,Hispanic,1,1,2,2011
17,TOM,Male,Hispanic,1,7,2,2011
17,TOM,Female,Hispanic,1,6,2,2011
17,White,Male,Not Hispanic,1,1990,3,2011
17,White,Female,Not Hispanic,1,1848,3,2011
17,Black,Male,Not Hispanic,1,94,3,2011
17,Black,Female,Not Hispanic,1,103,3,2011
17,AIAN,Male,Not Hispanic,1,3,3,2011
17,AIAN,Female,Not Hispanic,1,1,3,2011
17,Asian,Male,Not Hispanic,1,10,3,2011
17,Asian,Female,Not Hispanic,1,10,3,2011
17,TOM,Male,Not Hispanic,1,73,3,2011
17,TOM,Female,Not Hispanic,1,61,3,2011
17,White,Male,Hispanic,1,31,3,2011
17,White,Female,Hispanic,1,33,3,2011
17,Black,Male,Hispanic,1,5,3,2011
17,Black,Female,Hispanic,1,1,3,2011
17,AIAN,Male,Hispanic,1,5,3,2011
17,Asian,Male,Hispanic,1,2,3,2011
17,Asian,Female,Hispanic,1,2,3,2011
17,TOM,Male,Hispanic,1,3,3,2011
17,TOM,Female,Hispanic,1,5,3,2011
17,White,Male,Not Hispanic,1,2000,4,2011
17,White,Female,Not Hispanic,1,1919,4,2011
17,Black,Male,Not Hispanic,1,118,4,2011
17,Black,Female,Not Hispanic,1,113,4,2011
17,AIAN,Male,Not Hispanic,1,2,4,2011
17,AIAN,Female,Not Hispanic,1,4,4,2011
17,Asian,Male,Not Hispanic,1,8,4,2011
17,Asian,Female,Not Hispanic,1,13,4,2011
17,TOM,Male,Not Hispanic,1,41,4,2011
17,TOM,Female,Not Hispanic,1,49,4,2011
17,White,Male,Hispanic,1,30,4,2011
17,White,Female,Hispanic,1,43,4,2011
17,Black,Male,Hispanic,1,2,4,2011
17,Black,Female,Hispanic,1,3,4,2011
17,Asian,Male,Hispanic,1,2,4,2011
17,Asian,Female,Hispanic,1,1,4,2011
17,TOM,Male,Hispanic,1,5,4,2011
17,White,Male,Not Hispanic,1,1920,5,2011
17,White,Female,Not Hispanic,1,1934,5,2011
17,Black,Male,Not Hispanic,1,125,5,2011
17,Black,Female,Not Hispanic,1,112,5,2011
17,AIAN,Male,Not Hispanic,1,4,5,2011
17,AIAN,Female,Not Hispanic,1,5,5,2011
17,Asian,Male,Not Hispanic,1,8,5,2011
17,Asian,Female,Not Hispanic,1,6,5,2011
17,NHOPI,Female,Not Hispanic,1,1,5,2011
17,TOM,Male,Not Hispanic,1,43,5,2011
17,TOM,Female,Not Hispanic,1,45,5,2011
17,White,Male,Hispanic,1,45,5,2011
17,White,Female,Hispanic,1,38,5,2011
17,Black,Male,Hispanic,1,4,5,2011
17,Black,Female,Hispanic,1,5,5,2011
17,Asian,Male,Hispanic,1,2,5,2011
17,TOM,Female,Hispanic,1,5,5,2011
17,White,Male,Not Hispanic,1,1813,6,2011
17,White,Female,Not Hispanic,1,1939,6,2011
17,Black,Male,Not Hispanic,1,95,6,2011
17,Black,Female,Not Hispanic,1,77,6,2011
17,AIAN,Male,Not Hispanic,1,5,6,2011
17,AIAN,Female,Not Hispanic,1,5,6,2011
17,Asian,Male,Not Hispanic,1,12,6,2011
17,Asian,Female,Not Hispanic,1,21,6,2011
17,TOM,Male,Not Hispanic,1,35,6,2011
17,TOM,Female,Not Hispanic,1,28,6,2011
17,White,Male,Hispanic,1,39,6,2011
17,White,Female,Hispanic,1,35,6,2011
17,Black,Male,Hispanic,1,1,6,2011
17,Black,Female,Hispanic,1,7,6,2011
17,Asian,Male,Hispanic,1,2,6,2011
17,TOM,Female,Hispanic,1,3,6,2011
17,White,Male,Not Hispanic,1,1788,7,2011
17,White,Female,Not Hispanic,1,1811,7,2011
17,Black,Male,Not Hispanic,1,67,7,2011
17,Black,Female,Not Hispanic,1,53,7,2011
17,AIAN,Female,Not Hispanic,1,5,7,2011
17,Asian,Male,Not Hispanic,1,25,7,2011
17,Asian,Female,Not Hispanic,1,18,7,2011
17,NHOPI,Male,Not Hispanic,1,1,7,2011
17,TOM,Male,Not Hispanic,1,18,7,2011
17,TOM,Female,Not Hispanic,1,19,7,2011
17,White,Male,Hispanic,1,28,7,2011
17,White,Female,Hispanic,1,20,7,2011
17,Black,Male,Hispanic,1,3,7,2011
17,Black,Female,Hispanic,1,1,7,2011
17,AIAN,Female,Hispanic,1,2,7,2011
17,Asian,Female,Hispanic,1,1,7,2011
17,TOM,Female,Hispanic,1,1,7,2011
17,White,Male,Not Hispanic,1,1700,8,2011
17,White,Female,Not Hispanic,1,1646,8,2011
17,Black,Male,Not Hispanic,1,65,8,2011
17,Black,Female,Not Hispanic,1,58,8,2011
17,AIAN,Male,Not Hispanic,1,4,8,2011
17,AIAN,Female,Not Hispanic,1,1,8,2011
17,Asian,Male,Not Hispanic,1,24,8,2011
17,Asian,Female,Not Hispanic,1,26,8,2011
17,TOM,Male,Not Hispanic,1,13,8,2011
17,TOM,Female,Not Hispanic,1,14,8,2011
17,White,Male,Hispanic,1,21,8,2011
17,White,Female,Hispanic,1,21,8,2011
17,Black,Male,Hispanic,1,3,8,2011
17,Black,Female,Hispanic,1,1,8,2011
17,AIAN,Male,Hispanic,1,2,8,2011
17,TOM,Male,Hispanic,1,2,8,2011
17,TOM,Female,Hispanic,1,2,8,2011
17,White,Male,Not Hispanic,1,1842,9,2011
17,White,Female,Not Hispanic,1,1928,9,2011
17,Black,Male,Not Hispanic,1,71,9,2011
17,Black,Female,Not Hispanic,1,63,9,2011
17,AIAN,Male,Not Hispanic,1,4,9,2011
17,AIAN,Female,Not Hispanic,1,3,9,2011
17,Asian,Male,Not Hispanic,1,16,9,2011
17,Asian,Female,Not Hispanic,1,19,9,2011
17,NHOPI,Male,Not Hispanic,1,1,9,2011
17,NHOPI,Female,Not Hispanic,1,1,9,2011
17,TOM,Male,Not Hispanic,1,15,9,2011
17,TOM,Female,Not Hispanic,1,6,9,2011
17,White,Male,Hispanic,1,16,9,2011
17,White,Female,Hispanic,1,25,9,2011
17,Black,Male,Hispanic,1,1,9,2011
17,Black,Female,Hispanic,1,2,9,2011
17,AIAN,Male,Hispanic,1,1,9,2011
17,Asian,Male,Hispanic,1,1,9,2011
17,TOM,Male,Hispanic,1,1,9,2011
17,TOM,Female,Hispanic,1,1,9,2011
17,White,Male,Not Hispanic,1,2183,10,2011
17,White,Female,Not Hispanic,1,2219,10,2011
17,Black,Male,Not Hispanic,1,68,10,2011
17,Black,Female,Not Hispanic,1,58,10,2011
17,AIAN,Male,Not Hispanic,1,10,10,2011
17,AIAN,Female,Not Hispanic,1,3,10,2011
17,Asian,Male,Not Hispanic,1,13,10,2011
17,Asian,Female,Not Hispanic,1,22,10,2011
17,TOM,Male,Not Hispanic,1,18,10,2011
17,TOM,Female,Not Hispanic,1,14,10,2011
17,White,Male,Hispanic,1,13,10,2011
17,White,Female,Hispanic,1,11,10,2011
17,Black,Female,Hispanic,1,1,10,2011
17,AIAN,Male,Hispanic,1,1,10,2011
17,AIAN,Female,Hispanic,1,1,10,2011
17,Asian,Female,Hispanic,1,1,10,2011
17,TOM,Female,Hispanic,1,1,10,2011
17,White,Male,Not Hispanic,1,2394,11,2011
17,White,Female,Not Hispanic,1,2363,11,2011
17,Black,Male,Not Hispanic,1,94,11,2011
17,Black,Female,Not Hispanic,1,70,11,2011
17,AIAN,Male,Not Hispanic,1,4,11,2011
17,AIAN,Female,Not Hispanic,1,7,11,2011
17,Asian,Male,Not Hispanic,1,11,11,2011
17,Asian,Female,Not Hispanic,1,9,11,2011
17,TOM,Male,Not Hispanic,1,12,11,2011
17,TOM,Female,Not Hispanic,1,15,11,2011
17,White,Male,Hispanic,1,16,11,2011
17,White,Female,Hispanic,1,16,11,2011
17,Black,Female,Hispanic,1,3,11,2011
17,Asian,Male,Hispanic,1,3,11,2011
17,White,Male,Not Hispanic,1,2078,12,2011
17,White,Female,Not Hispanic,1,2276,12,2011
17,Black,Male,Not Hispanic,1,71,12,2011
17,Black,Female,Not Hispanic,1,56,12,2011
17,AIAN,Male,Not Hispanic,1,2,12,2011
17,AIAN,Female,Not Hispanic,1,4,12,2011
17,Asian,Male,Not Hispanic,1,8,12,2011
17,Asian,Female,Not Hispanic,1,18,12,2011
17,NHOPI,Male,Not Hispanic,1,1,12,2011
17,NHOPI,Female,Not Hispanic,1,1,12,2011
17,TOM,Male,Not Hispanic,1,8,12,2011
17,TOM,Female,Not Hispanic,1,13,12,2011
17,White,Male,Hispanic,1,10,12,2011
17,White,Female,Hispanic,1,14,12,2011
17,AIAN,Female,Hispanic,1,1,12,2011
17,TOM,Female,Hispanic,1,1,12,2011
17,White,Male,Not Hispanic,1,2002,13,2011
17,White,Female,Not Hispanic,1,2070,13,2011
17,Black,Male,Not Hispanic,1,41,13,2011
17,Black,Female,Not Hispanic,1,49,13,2011
17,AIAN,Male,Not Hispanic,1,2,13,2011
17,AIAN,Female,Not Hispanic,1,2,13,2011
17,Asian,Male,Not Hispanic,1,8,13,2011
17,Asian,Female,Not Hispanic,1,12,13,2011
17,NHOPI,Male,Not Hispanic,1,1,13,2011
17,NHOPI,Female,Not Hispanic,1,1,13,2011
17,TOM,Male,Not Hispanic,1,9,13,2011
17,TOM,Female,Not Hispanic,1,8,13,2011
17,White,Male,Hispanic,1,9,13,2011
17,White,Female,Hispanic,1,9,13,2011
17,AIAN,Male,Hispanic,1,1,13,2011
17,AIAN,Female,Hispanic,1,1,13,2011
17,Asian,Male,Hispanic,1,1,13,2011
17,TOM,Female,Hispanic,1,1,13,2011
17,White,Male,Not Hispanic,1,1402,14,2011
17,White,Female,Not Hispanic,1,1621,14,2011
17,Black,Male,Not Hispanic,1,30,14,2011
17,Black,Female,Not Hispanic,1,30,14,2011
17,AIAN,Male,Not Hispanic,1,1,14,2011
17,AIAN,Female,Not Hispanic,1,1,14,2011
17,Asian,Male,Not Hispanic,1,7,14,2011
17,Asian,Female,Not Hispanic,1,12,14,2011
17,TOM,Male,Not Hispanic,1,7,14,2011
17,TOM,Female,Not Hispanic,1,6,14,2011
17,White,Male,Hispanic,1,9,14,2011
17,White,Female,Hispanic,1,4,14,2011
17,TOM,Male,Hispanic,1,2,14,2011
17,White,Male,Not Hispanic,1,1084,15,2011
17,White,Female,Not Hispanic,1,1335,15,2011
17,Black,Male,Not Hispanic,1,12,15,2011
17,Black,Female,Not Hispanic,1,22,15,2011
17,Asian,Male,Not Hispanic,1,6,15,2011
17,Asian,Female,Not Hispanic,1,6,15,2011
17,TOM,Male,Not Hispanic,1,3,15,2011
17,TOM,Female,Not Hispanic,1,4,15,2011
17,White,Male,Hispanic,1,3,15,2011
17,White,Female,Hispanic,1,4,15,2011
17,White,Male,Not Hispanic,1,908,16,2011
17,White,Female,Not Hispanic,1,1160,16,2011
17,Black,Male,Not Hispanic,1,17,16,2011
17,Black,Female,Not Hispanic,1,24,16,2011
17,AIAN,Female,Not Hispanic,1,1,16,2011
17,Asian,Male,Not Hispanic,1,3,16,2011
17,Asian,Female,Not Hispanic,1,4,16,2011
17,TOM,Male,Not Hispanic,1,3,16,2011
17,TOM,Female,Not Hispanic,1,6,16,2011
17,White,Male,Hispanic,1,1,16,2011
17,White,Female,Hispanic,1,3,16,2011
17,White,Male,Not Hispanic,1,762,17,2011
17,White,Female,Not Hispanic,1,1085,17,2011
17,Black,Male,Not Hispanic,1,11,17,2011
17,Black,Female,Not Hispanic,1,19,17,2011
17,Asian,Female,Not Hispanic,1,1,17,2011
17,TOM,Male,Not Hispanic,1,3,17,2011
17,TOM,Female,Not Hispanic,1,3,17,2011
17,White,Male,Hispanic,1,3,17,2011
17,White,Female,Hispanic,1,1,17,2011
17,White,Male,Not Hispanic,1,714,18,2011
17,White,Female,Not Hispanic,1,1361,18,2011
17,Black,Male,Not Hispanic,1,9,18,2011
17,Black,Female,Not Hispanic,1,13,18,2011
17,AIAN,Female,Not Hispanic,1,2,18,2011
17,Asian,Female,Not Hispanic,1,2,18,2011
17,TOM,Male,Not Hispanic,1,3,18,2011
17,TOM,Female,Not Hispanic,1,3,18,2011
17,White,Male,Hispanic,1,8,18,2011
17,White,Female,Hispanic,1,3,18,2011
17,White,Male,Not Hispanic,3,124,1,2011
17,White,Female,Not Hispanic,3,101,1,2011
17,Black,Male,Not Hispanic,3,140,1,2011
17,Black,Female,Not Hispanic,3,129,1,2011
17,TOM,Male,Not Hispanic,3,13,1,2011
17,TOM,Female,Not Hispanic,3,18,1,2011
17,White,Male,Hispanic,3,6,1,2011
17,White,Female,Hispanic,3,4,1,2011
17,Black,Female,Hispanic,3,1,1,2011
17,TOM,Male,Hispanic,3,1,1,2011
17,TOM,Female,Hispanic,3,2,1,2011
17,White,Male,Not Hispanic,3,130,2,2011
17,White,Female,Not Hispanic,3,135,2,2011
17,Black,Male,Not Hispanic,3,125,2,2011
17,Black,Female,Not Hispanic,3,116,2,2011
17,TOM,Male,Not Hispanic,3,15,2,2011
17,TOM,Female,Not Hispanic,3,13,2,2011
17,White,Male,Hispanic,3,3,2,2011
17,White,Female,Hispanic,3,2,2,2011
17,Black,Male,Hispanic,3,1,2,2011
17,White,Male,Not Hispanic,3,117,3,2011
17,White,Female,Not Hispanic,3,115,3,2011
17,Black,Male,Not Hispanic,3,90,3,2011
17,Black,Female,Not Hispanic,3,98,3,2011
17,AIAN,Male,Not Hispanic,3,1,3,2011
17,AIAN,Female,Not Hispanic,3,1,3,2011
17,Asian,Male,Not Hispanic,3,2,3,2011
17,TOM,Male,Not Hispanic,3,7,3,2011
17,TOM,Female,Not Hispanic,3,13,3,2011
17,White,Male,Hispanic,3,3,3,2011
17,White,Female,Hispanic,3,3,3,2011
17,Black,Female,Hispanic,3,1,3,2011
17,White,Male,Not Hispanic,3,125,4,2011
17,White,Female,Not Hispanic,3,110,4,2011
17,Black,Male,Not Hispanic,3,112,4,2011
17,Black,Female,Not Hispanic,3,102,4,2011
17,NHOPI,Male,Not Hispanic,3,1,4,2011
17,TOM,Male,Not Hispanic,3,9,4,2011
