Illinois,Race,Sex,Ethnicity,County,Count,Age,Year
17,White,Male,Not Hispanic,1,1481,1,2006
17,White,Female,Not Hispanic,1,1406,1,2006
17,Black,Male,Not Hispanic,1,80,1,2006
17,Black,Female,Not Hispanic,1,92,1,2006
17,AIAN,Male,Not Hispanic,1,3,1,2006
17,AIAN,Female,Not Hispanic,1,3,1,2006
17,Asian,Male,Not Hispanic,1,7,1,2006
17,Asian,Female,Not Hispanic,1,11,1,2006
17,TOM,Male,Not Hispanic,1,71,1,2006
17,TOM,Female,Not Hispanic,1,63,1,2006
17,White,Male,Hispanic,1,32,1,2006
17,White,Female,Hispanic,1,21,1,2006
17,Black,Male,Hispanic,1,1,1,2006
17,Black,Female,Hispanic,1,2,1,2006
17,TOM,Male,Hispanic,1,4,1,2006
17,TOM,Female,Hispanic,1,2,1,2006
17,White,Male,Not Hispanic,1,1992,2,2006
17,White,Female,Not Hispanic,1,1818,2,2006
17,Black,Male,Not Hispanic,1,95,2,2006
17,Black,Female,Not Hispanic,1,97,2,2006
17,AIAN,Male,Not Hispanic,1,3,2,2006
17,AIAN,Female,Not Hispanic,1,1,2,2006
17,Asian,Male,Not Hispanic,1,11,2,2006
17,Asian,Female,Not Hispanic,1,11,2,2006
17,NHOPI,Female,Not Hispanic,1,1,2,2006
17,TOM,Male,Not Hispanic,1,76,2,2006
17,TOM,Female,Not Hispanic,1,62,2,2006
17,White,Male,Hispanic,1,33,2,2006
17,White,Female,Hispanic,1,32,2,2006
17,Black,Male,Hispanic,1,3,2,2006
17,Black,Female,Hispanic,1,3,2,2006
17,AIAN,Male,Hispanic,1,2,2,2006
17,AIAN,Female,Hispanic,1,2,2,2006
17,TOM,Male,Hispanic,1,5,2,2006
17,TOM,Female,Hispanic,1,5,2,2006
17,White,Male,Not Hispanic,1,2112,3,2006
17,White,Female,Not Hispanic,1,2031,3,2006
17,Black,Male,Not Hispanic,1,88,3,2006
17,Black,Female,Not Hispanic,1,108,3,2006
17,AIAN,Male,Not Hispanic,1,4,3,2006
17,AIAN,Female,Not Hispanic,1,2,3,2006
17,Asian,Male,Not Hispanic,1,7,3,2006
17,Asian,Female,Not Hispanic,1,13,3,2006
17,TOM,Male,Not Hispanic,1,42,3,2006
17,TOM,Female,Not Hispanic,1,48,3,2006
17,White,Male,Hispanic,1,26,3,2006
17,White,Female,Hispanic,1,33,3,2006
17,Black,Male,Hispanic,1,2,3,2006
17,Black,Female,Hispanic,1,2,3,2006
17,AIAN,Male,Hispanic,1,2,3,2006
17,Asian,Male,Hispanic,1,3,3,2006
17,Asian,Female,Hispanic,1,3,3,2006
17,TOM,Male,Hispanic,1,3,3,2006
17,White,Male,Not Hispanic,1,2311,4,2006
17,White,Female,Not Hispanic,1,2206,4,2006
17,Black,Male,Not Hispanic,1,129,4,2006
17,Black,Female,Not Hispanic,1,114,4,2006
17,AIAN,Male,Not Hispanic,1,4,4,2006
17,AIAN,Female,Not Hispanic,1,4,4,2006
17,Asian,Male,Not Hispanic,1,16,4,2006
17,Asian,Female,Not Hispanic,1,9,4,2006
17,TOM,Male,Not Hispanic,1,37,4,2006
17,TOM,Female,Not Hispanic,1,52,4,2006
17,White,Male,Hispanic,1,32,4,2006
17,White,Female,Hispanic,1,41,4,2006
17,Black,Male,Hispanic,1,3,4,2006
17,Black,Female,Hispanic,1,3,4,2006
17,Asian,Male,Hispanic,1,2,4,2006
17,TOM,Male,Hispanic,1,3,4,2006
17,TOM,Female,Hispanic,1,1,4,2006
17,White,Male,Not Hispanic,1,1870,5,2006
17,White,Female,Not Hispanic,1,1963,5,2006
17,Black,Male,Not Hispanic,1,108,5,2006
17,Black,Female,Not Hispanic,1,97,5,2006
17,AIAN,Male,Not Hispanic,1,6,5,2006
17,AIAN,Female,Not Hispanic,1,6,5,2006
17,Asian,Male,Not Hispanic,1,12,5,2006
17,Asian,Female,Not Hispanic,1,8,5,2006
17,NHOPI,Female,Not Hispanic,1,1,5,2006
17,TOM,Male,Not Hispanic,1,32,5,2006
17,TOM,Female,Not Hispanic,1,26,5,2006
17,White,Male,Hispanic,1,48,5,2006
17,White,Female,Hispanic,1,23,5,2006
17,Black,Male,Hispanic,1,4,5,2006
17,Black,Female,Hispanic,1,4,5,2006
17,Asian,Male,Hispanic,1,2,5,2006
17,TOM,Female,Hispanic,1,5,5,2006
17,White,Male,Not Hispanic,1,1724,6,2006
17,White,Female,Not Hispanic,1,1721,6,2006
17,Black,Male,Not Hispanic,1,77,6,2006
17,Black,Female,Not Hispanic,1,73,6,2006
17,AIAN,Male,Not Hispanic,1,4,6,2006
17,AIAN,Female,Not Hispanic,1,3,6,2006
17,Asian,Male,Not Hispanic,1,9,6,2006
17,Asian,Female,Not Hispanic,1,21,6,2006
17,NHOPI,Male,Not Hispanic,1,1,6,2006
17,TOM,Male,Not Hispanic,1,25,6,2006
17,TOM,Female,Not Hispanic,1,20,6,2006
17,White,Male,Hispanic,1,26,6,2006
17,White,Female,Hispanic,1,27,6,2006
17,Black,Female,Hispanic,1,2,6,2006
17,Asian,Male,Hispanic,1,1,6,2006
17,TOM,Female,Hispanic,1,2,6,2006
17,White,Male,Not Hispanic,1,1685,7,2006
17,White,Female,Not Hispanic,1,1672,7,2006
17,Black,Male,Not Hispanic,1,76,7,2006
17,Black,Female,Not Hispanic,1,50,7,2006
17,AIAN,Male,Not Hispanic,1,2,7,2006
17,AIAN,Female,Not Hispanic,1,4,7,2006
17,Asian,Male,Not Hispanic,1,15,7,2006
17,Asian,Female,Not Hispanic,1,17,7,2006
17,TOM,Male,Not Hispanic,1,14,7,2006
17,TOM,Female,Not Hispanic,1,15,7,2006
17,White,Male,Hispanic,1,19,7,2006
17,White,Female,Hispanic,1,20,7,2006
17,Black,Male,Hispanic,1,2,7,2006
17,Black,Female,Hispanic,1,1,7,2006
17,AIAN,Female,Hispanic,1,2,7,2006
17,TOM,Female,Hispanic,1,1,7,2006
17,White,Male,Not Hispanic,1,1868,8,2006
17,White,Female,Not Hispanic,1,1964,8,2006
17,Black,Male,Not Hispanic,1,68,8,2006
17,Black,Female,Not Hispanic,1,61,8,2006
17,AIAN,Male,Not Hispanic,1,5,8,2006
17,AIAN,Female,Not Hispanic,1,1,8,2006
17,Asian,Male,Not Hispanic,1,21,8,2006
17,Asian,Female,Not Hispanic,1,14,8,2006
17,NHOPI,Female,Not Hispanic,1,1,8,2006
17,TOM,Male,Not Hispanic,1,9,8,2006
17,TOM,Female,Not Hispanic,1,9,8,2006
17,White,Male,Hispanic,1,17,8,2006
17,White,Female,Hispanic,1,25,8,2006
17,Black,Female,Hispanic,1,2,8,2006
17,AIAN,Male,Hispanic,1,2,8,2006
17,Asian,Male,Hispanic,1,1,8,2006
17,TOM,Female,Hispanic,1,2,8,2006
17,White,Male,Not Hispanic,1,2217,9,2006
17,White,Female,Not Hispanic,1,2254,9,2006
17,Black,Male,Not Hispanic,1,71,9,2006
17,Black,Female,Not Hispanic,1,68,9,2006
17,AIAN,Male,Not Hispanic,1,4,9,2006
17,AIAN,Female,Not Hispanic,1,5,9,2006
17,Asian,Male,Not Hispanic,1,16,9,2006
17,Asian,Female,Not Hispanic,1,12,9,2006
17,NHOPI,Male,Not Hispanic,1,1,9,2006
17,TOM,Male,Not Hispanic,1,12,9,2006
17,TOM,Female,Not Hispanic,1,11,9,2006
17,White,Male,Hispanic,1,17,9,2006
17,White,Female,Hispanic,1,18,9,2006
17,Black,Male,Hispanic,1,1,9,2006
17,Black,Female,Hispanic,1,1,9,2006
17,AIAN,Male,Hispanic,1,2,9,2006
17,AIAN,Female,Hispanic,1,1,9,2006
17,TOM,Male,Hispanic,1,1,9,2006
17,TOM,Female,Hispanic,1,1,9,2006
17,White,Male,Not Hispanic,1,2399,10,2006
17,White,Female,Not Hispanic,1,2344,10,2006
17,Black,Male,Not Hispanic,1,95,10,2006
17,Black,Female,Not Hispanic,1,57,10,2006
17,AIAN,Male,Not Hispanic,1,6,10,2006
17,AIAN,Female,Not Hispanic,1,1,10,2006
17,Asian,Male,Not Hispanic,1,8,10,2006
17,Asian,Female,Not Hispanic,1,12,10,2006
17,TOM,Male,Not Hispanic,1,15,10,2006
17,TOM,Female,Not Hispanic,1,11,10,2006
17,White,Male,Hispanic,1,13,10,2006
17,White,Female,Hispanic,1,16,10,2006
17,Black,Female,Hispanic,1,2,10,2006
17,Asian,Male,Hispanic,1,1,10,2006
17,Asian,Female,Hispanic,1,1,10,2006
17,White,Male,Not Hispanic,1,2124,11,2006
17,White,Female,Not Hispanic,1,2306,11,2006
17,Black,Male,Not Hispanic,1,81,11,2006
17,Black,Female,Not Hispanic,1,43,11,2006
17,AIAN,Male,Not Hispanic,1,4,11,2006
17,AIAN,Female,Not Hispanic,1,6,11,2006
17,Asian,Male,Not Hispanic,1,12,11,2006
17,Asian,Female,Not Hispanic,1,15,11,2006
17,NHOPI,Male,Not Hispanic,1,1,11,2006
17,TOM,Male,Not Hispanic,1,9,11,2006
17,TOM,Female,Not Hispanic,1,13,11,2006
17,White,Male,Hispanic,1,13,11,2006
17,White,Female,Hispanic,1,12,11,2006
17,Black,Female,Hispanic,1,1,11,2006
17,AIAN,Female,Hispanic,1,1,11,2006
17,Asian,Male,Hispanic,1,1,11,2006
17,TOM,Female,Hispanic,1,1,11,2006
17,White,Male,Not Hispanic,1,2057,12,2006
17,White,Female,Not Hispanic,1,2169,12,2006
17,Black,Male,Not Hispanic,1,44,12,2006
17,Black,Female,Not Hispanic,1,50,12,2006
17,AIAN,Male,Not Hispanic,1,2,12,2006
17,AIAN,Female,Not Hispanic,1,4,12,2006
17,Asian,Male,Not Hispanic,1,8,12,2006
17,Asian,Female,Not Hispanic,1,16,12,2006
17,NHOPI,Male,Not Hispanic,1,1,12,2006
17,NHOPI,Female,Not Hispanic,1,1,12,2006
17,TOM,Male,Not Hispanic,1,4,12,2006
17,TOM,Female,Not Hispanic,1,9,12,2006
17,White,Male,Hispanic,1,5,12,2006
17,White,Female,Hispanic,1,14,12,2006
17,Asian,Male,Hispanic,1,1,12,2006
17,White,Male,Not Hispanic,1,1528,13,2006
17,White,Female,Not Hispanic,1,1707,13,2006
17,Black,Male,Not Hispanic,1,28,13,2006
17,Black,Female,Not Hispanic,1,34,13,2006
17,AIAN,Male,Not Hispanic,1,2,13,2006
17,AIAN,Female,Not Hispanic,1,1,13,2006
17,Asian,Male,Not Hispanic,1,11,13,2006
17,Asian,Female,Not Hispanic,1,11,13,2006
17,TOM,Male,Not Hispanic,1,6,13,2006
17,TOM,Female,Not Hispanic,1,8,13,2006
17,White,Male,Hispanic,1,7,13,2006
17,White,Female,Hispanic,1,6,13,2006
17,AIAN,Female,Hispanic,1,1,13,2006
17,TOM,Male,Hispanic,1,2,13,2006
17,TOM,Female,Hispanic,1,1,13,2006
17,White,Male,Not Hispanic,1,1271,14,2006
17,White,Female,Not Hispanic,1,1393,14,2006
17,Black,Male,Not Hispanic,1,14,14,2006
17,Black,Female,Not Hispanic,1,30,14,2006
17,AIAN,Female,Not Hispanic,1,2,14,2006
17,Asian,Male,Not Hispanic,1,6,14,2006
17,Asian,Female,Not Hispanic,1,9,14,2006
17,TOM,Male,Not Hispanic,1,7,14,2006
17,TOM,Female,Not Hispanic,1,4,14,2006
17,White,Male,Hispanic,1,5,14,2006
17,White,Female,Hispanic,1,8,14,2006
17,White,Male,Not Hispanic,1,1049,15,2006
17,White,Female,Not Hispanic,1,1329,15,2006
17,Black,Male,Not Hispanic,1,22,15,2006
17,Black,Female,Not Hispanic,1,23,15,2006
17,AIAN,Female,Not Hispanic,1,1,15,2006
17,Asian,Male,Not Hispanic,1,5,15,2006
17,Asian,Female,Not Hispanic,1,3,15,2006
17,TOM,Male,Not Hispanic,1,3,15,2006
17,TOM,Female,Not Hispanic,1,3,15,2006
17,White,Male,Hispanic,1,4,15,2006
17,White,Female,Hispanic,1,3,15,2006
17,White,Male,Not Hispanic,1,993,16,2006
17,White,Female,Not Hispanic,1,1358,16,2006
17,Black,Male,Not Hispanic,1,14,16,2006
17,Black,Female,Not Hispanic,1,32,16,2006
17,AIAN,Female,Not Hispanic,1,1,16,2006
17,Asian,Female,Not Hispanic,1,3,16,2006
17,TOM,Male,Not Hispanic,1,4,16,2006
17,TOM,Female,Not Hispanic,1,2,16,2006
17,White,Male,Hispanic,1,1,16,2006
17,White,Female,Hispanic,1,4,16,2006
17,White,Male,Not Hispanic,1,804,17,2006
17,White,Female,Not Hispanic,1,1186,17,2006
17,Black,Male,Not Hispanic,1,10,17,2006
17,Black,Female,Not Hispanic,1,16,17,2006
17,Asian,Female,Not Hispanic,1,2,17,2006
17,TOM,Male,Not Hispanic,1,3,17,2006
17,TOM,Female,Not Hispanic,1,6,17,2006
17,White,Male,Hispanic,1,2,17,2006
17,White,Female,Hispanic,1,1,17,2006
17,White,Male,Not Hispanic,1,604,18,2006
17,White,Female,Not Hispanic,1,1314,18,2006
17,Black,Male,Not Hispanic,1,6,18,2006
17,Black,Female,Not Hispanic,1,13,18,2006
17,AIAN,Female,Not Hispanic,1,1,18,2006
17,Asian,Female,Not Hispanic,1,1,18,2006
17,TOM,Male,Not Hispanic,1,1,18,2006
17,TOM,Female,Not Hispanic,1,1,18,2006
17,White,Male,Hispanic,1,4,18,2006
17,White,Female,Hispanic,1,2,18,2006
17,White,Male,Not Hispanic,3,123,1,2006
17,White,Female,Not Hispanic,3,130,1,2006
17,Black,Male,Not Hispanic,3,129,1,2006
17,Black,Female,Not Hispanic,3,95,1,2006
17,AIAN,Female,Not Hispanic,3,1,1,2006
17,TOM,Male,Not Hispanic,3,7,1,2006
17,TOM,Female,Not Hispanic,3,7,1,2006
17,White,Male,Hispanic,3,2,1,2006
17,White,Female,Hispanic,3,2,1,2006
17,TOM,Male,Hispanic,3,1,1,2006
17,White,Male,Not Hispanic,3,131,2,2006
17,White,Female,Not Hispanic,3,113,2,2006
17,Black,Male,Not Hispanic,3,102,2,2006
17,Black,Female,Not Hispanic,3,122,2,2006
17,Asian,Male,Not Hispanic,3,1,2,2006
17,TOM,Male,Not Hispanic,3,11,2,2006
17,TOM,Female,Not Hispanic,3,16,2,2006
17,White,Male,Hispanic,3,1,2,2006
17,White,Female,Hispanic,3,1,2,2006
17,Black,Male,Hispanic,3,1,2,2006
17,White,Male,Not Hispanic,3,136,3,2006
17,White,Female,Not Hispanic,3,148,3,2006
17,Black,Male,Not Hispanic,3,144,3,2006
