Provider Column,Race,Sex,Ethnicity,County,Count,Age,Year
1,White,Male,Not Hispanic,1,1716,1,2020
1,White,Female,Not Hispanic,1,1601,1,2020
1,Black,Male,Not Hispanic,1,115,1,2020
1,Black,Female,Not Hispanic,1,120,1,2020
1,AIAN,Male,Not Hispanic,1,5,1,2020
1,AIAN,Female,Not Hispanic,1,1,1,2020
1,Asian,Male,Not Hispanic,1,29,1,2020
1,Asian,Female,Not Hispanic,1,31,1,2020
1,NHOPI,Male,Not Hispanic,1,1,1,2020
1,NHOPI,Female,Not Hispanic,1,1,1,2020
1,TOM,Male,Not Hispanic,1,112,1,2020
1,TOM,Female,Not Hispanic,1,132,1,2020
1,White,Male,Hispanic,1,52,1,2020
1,White,Female,Hispanic,1,44,1,2020
1,Black,Male,Hispanic,1,10,1,2020
1,Black,Female,Hispanic,1,10,1,2020
1,AIAN,Male,Hispanic,1,4,1,2020
1,AIAN,Female,Hispanic,1,5,1,2020
1,TOM,Male,Hispanic,1,4,1,2020
1,TOM,Female,Hispanic,1,5,1,2020
1,White,Male,Not Hispanic,1,1835,2,2020
1,White,Female,Not Hispanic,1,1686,2,2020
1,Black,Male,Not Hispanic,1,96,2,2020
1,Black,Female,Not Hispanic,1,81,2,2020
1,AIAN,Male,Not Hispanic,1,2,2,2020
1,AIAN,Female,Not Hispanic,1,2,2,2020
1,Asian,Male,Not Hispanic,1,22,2,2020
1,Asian,Female,Not Hispanic,1,29,2,2020
1,NHOPI,Male,Not Hispanic,1,1,2,2020
1,NHOPI,Female,Not Hispanic,1,3,2,2020
1,TOM,Male,Not Hispanic,1,114,2,2020
1,TOM,Female,Not Hispanic,1,98,2,2020
1,White,Male,Hispanic,1,53,2,2020
1,White,Female,Hispanic,1,46,2,2020
1,Black,Male,Hispanic,1,8,2,2020
1,Black,Female,Hispanic,1,5,2,2020
1,AIAN,Male,Hispanic,1,6,2,2020
1,AIAN,Female,Hispanic,1,8,2,2020
1,TOM,Male,Hispanic,1,10,2,2020
1,TOM,Female,Hispanic,1,6,2,2020
1,White,Male,Not Hispanic,1,1889,3,2020
1,White,Female,Not Hispanic,1,1852,3,2020
1,Black,Male,Not Hispanic,1,108,3,2020
1,Black,Female,Not Hispanic,1,107,3,2020
1,AIAN,Male,Not Hispanic,1,4,3,2020
1,AIAN,Female,Not Hispanic,1,5,3,2020
1,Asian,Male,Not Hispanic,1,18,3,2020
1,Asian,Female,Not Hispanic,1,12,3,2020
1,NHOPI,Male,Not Hispanic,1,2,3,2020
1,NHOPI,Female,Not Hispanic,1,1,3,2020
1,TOM,Male,Not Hispanic,1,122,3,2020
1,TOM,Female,Not Hispanic,1,96,3,2020
1,White,Male,Hispanic,1,55,3,2020
1,White,Female,Hispanic,1,42,3,2020
1,Black,Male,Hispanic,1,6,3,2020
1,Black,Female,Hispanic,1,5,3,2020
1,AIAN,Male,Hispanic,1,2,3,2020
